flightId,passengerId
N446UA,575-92-8461
N695CA,273-98-4499
N522UA,318-03-9396
N340LV,823-38-0747
N920DN,877-67-2008
N934AT,557-38-0286
N201AA,108-80-6653
N706TW,878-47-1486
N586AA,499-43-6879
N935FR,175-14-7892
N576SW,188-41-2829
N874AS,585-64-5266
N339NB,495-86-8431
N948FR,109-79-5810
N3HYAA,306-89-1409
N959SW,234-33-7358
N817UA,843-30-0962
N626NK,716-75-9794
N676AW,531-93-8802
N14950,587-86-4143
N389DA,753-41-6243
N849AS,748-06-0917
N775JB,387-16-7364
N792AA,588-85-8792
N152UW,134-27-7909
N708JB,246-30-1376
N746SK,515-61-3225
N6704Z,180-82-5534
N544UW,624-30-9677
N922DX,108-80-6653
N549AA,284-89-7668
N320AS,895-62-0290
N970SW,802-53-7486
N16987,100-30-9675
N879AS,588-85-8792
N7707C,234-33-7358
N833AS,484-16-5688
N997DL,340-43-6778
N660AW,383-16-2472
N253WN,507-59-0248
N585AA,198-38-2443
N686MQ,249-50-2607
N932MQ,225-02-9302
N3CGAA,245-43-0234
N519JB,212-42-0125
N3GLAA,324-74-9450
N14570,534-58-2592
N132EV,745-40-6052
N8612K,120-25-3281
N494CA,322-05-1737
N11107,177-32-7733
N558AS,774-32-7567
N504NK,105-26-0727
N504NK,662-97-2896
N497WN,608-27-0002
N637MQ,584-75-6677
N528MQ,326-99-9078
N646MQ,318-90-2579
N351JB,497-36-1226
N457AS,275-33-0780
N309AS,201-31-4853
N489AA,657-29-0406
N26141,207-42-7140
N194DN,799-23-1021
N560SW,168-84-0728
N653SW,885-52-2339
N935FR,538-94-3832
N284JB,314-29-6968
N579SW,123-32-3789
N744SK,185-34-5310
N838AS,645-08-7702
N3LJAA,302-33-4306
N484HA,564-92-0383
N3DXAA,590-02-6737
N3LCAA,202-56-5096
N646MQ,585-34-8830
N187US,822-06-7943
N911DA,136-07-6319
N538UW,446-92-1244
N5DXAA,683-27-6365
N810SK,742-28-0162
N901EV,486-76-7494
N14998,844-51-1629
N201FR,176-71-8268
N361VA,199-88-7339
N664AW,499-43-6879
N491HA,123-32-3789
N8641B,645-88-0794
N703SK,817-89-5770
N507MQ,427-42-9895
N831AW,418-46-5391
N970DL,899-30-1664
N37293,175-46-7580
N368JB,105-26-0727
N979SW,422-15-3650
N642WN,791-53-3137
N628SW,654-98-3843
N669DN,314-07-1161
N307AS,527-72-7611
N4XKAA,737-28-9057
N576AA,159-28-8720
N626AW,729-71-9048
N30401,324-50-2400
N440SW,405-80-1749
N486AA,894-47-4970
N483HA,513-65-6653
N912FR,446-03-6696
N296SW,859-53-1824
N792AA,150-28-0696
N461WN,778-76-4749
N929FR,306-91-2554
N906FR,773-87-8993
N794JB,161-28-0329
N819DN,331-41-8369
N489AA,678-87-8056
N13124,371-33-3753
N4XPAA,781-40-4220
N932EV,273-98-4499
N5ENAA,823-27-1807
N355NW,188-41-2829
N30401,576-02-9582
N990AT,751-74-1728
N14974,145-52-6305
N652JB,616-26-7996
N3DXAA,345-32-2489
N593ML,699-06-2932
N275WN,157-30-7732
N423AS,448-22-2068
N570JB,110-11-6514
N706TW,575-63-1516
N640AW,386-53-7055
N3JVAA,616-47-7883
N442AS,174-78-6208
N68452,300-74-2230
N407AS,441-66-4669
N629NK,382-07-1152
N627AS,273-98-4499
N320AS,563-07-8808
N650AW,496-16-8769
N57864,480-85-9936
N910WN,429-04-2583
N858AA,436-44-1931
N303AS,791-91-7003
N78448,314-07-1161
N507MQ,819-59-8381
N932MQ,582-80-5743
N497WN,884-67-8935
N419AS,725-79-9398
N625SW,298-74-4994
N462UA,176-11-3531
N346SW,757-32-5923
N454UA,887-68-8428
N69838,671-47-0058
N635MQ,753-41-6243
N37281,251-51-5389
N38451,633-95-1437
N580JB,720-41-8792
N625MQ,459-25-4677
N403UA,835-61-5307
N326US,744-51-1704
N57864,352-90-6549
N990AT,786-56-1542
N292JB,209-67-7487
N842VA,639-14-1259
N503NK,192-86-7149
N128UW,172-73-5334
N403UA,782-49-3575
N72405,843-30-0962
N925MQ,119-92-7673
N855MQ,549-39-2470
N912FR,774-13-4471
N11150,243-33-2207
N360NW,508-29-3632
N184JB,239-96-8885
N944JB,302-33-4306
N654AW,134-05-5918
N971SW,382-07-1152
N858AA,172-43-9067
N695CA,737-28-9057
N437AA,185-94-8981
N021AA,594-01-6623
N217AG,624-29-9345
N26141,708-43-1559
N509NK,432-71-7185
N628SW,588-85-8792
N391DA,368-52-0722
N38451,467-09-3294
N626AS,636-51-7433
N637MQ,210-42-8295
N3FBAA,804-50-1049
N334JB,791-60-4835
N566JB,216-96-5863
N698MQ,130-74-3596
N221WN,649-06-0547
N48901,386-94-6803
N780SW,123-84-8926
N614SW,418-65-8672
N934AT,738-06-0060
N859AA,285-49-5210
N3KYAA,396-16-6224
N613MQ,194-84-7389
N8982A,234-31-8470
N611AS,454-10-4081
N534US,577-90-4012
N551AS,500-11-6585
N604AW,575-92-8461
N926SW,288-50-6583
N905EV,330-84-1831
N767AS,455-45-8609
N563SW,628-29-5480
N3FBAA,451-31-1208
N3GKAA,770-02-8107
N939WN,595-71-4824
N723UW,627-78-9611
N659BR,497-78-1307
N616NK,232-53-8353
N607AS,413-03-4787
N17245,462-04-0241
N663AW,760-05-3164
N13970,411-85-0012
N530NK,792-01-7609
N525NK,397-78-1736
N902WN,842-97-3494
N69818,150-36-5789
N3GHAA,362-08-1438
N564SW,352-33-9969
N181PQ,868-46-8360
N953SW,429-22-2217
N629NK,222-67-7316
N849AS,583-29-8034
N3KPAA,153-45-6270
N806DN,465-35-1033
N911DA,745-40-6052
N429UA,497-10-5363
N663AW,178-95-9881
N296SW,583-29-8034
N307AS,713-71-2655
N794JB,458-65-6878
N3JNAA,717-50-1348
N628MQ,404-15-1915
N329NW,281-72-0763
N15986,280-86-5218
N767SK,772-01-9378
N908DE,650-07-5603
N924FR,577-90-4012
N66814,298-99-1127
N13123,357-31-4190
N794SK,587-86-4143
N69810,493-51-8756
N640JB,246-66-9321
N965WN,586-51-7001
N652BR,222-25-5951
N882AS,778-76-4749
N12122,190-67-5469
N571UW,707-83-8199
N701BR,717-22-2133
N703AS,458-65-6878
N23139,564-92-0383
N626NK,305-85-0302
N678DL,201-43-2973
N516NK,826-79-3219
N79521,158-86-7747
N933EV,754-50-8444
N5PBMQ,399-73-5089
N3LCAA,188-41-2829
N14143,185-94-8981
N481HA,403-79-4759
N174US,872-99-1969
N635NK,113-31-3405
N630WN,517-98-3689
N8612K,856-78-1727
N810SK,712-59-0596
N323NB,247-14-8315
N827AW,358-45-9603
N990DL,451-31-1208
N481WN,128-14-1724
N565UW,311-30-3528
N66814,890-10-6335
N73445,463-42-7536
N931FR,137-26-3062
N118SY,231-11-1854
N12967,867-39-6880
N629NK,415-70-0083
N659JB,820-79-3560
N320AS,488-42-4367
N8302F,722-52-4126
N558AS,460-69-3409
N631MQ,899-30-1664
N475AA,361-49-3219
N791SK,899-35-4708
N923JB,329-84-1531
N6705Y,306-89-1409
N481HA,462-41-3749
N693BR,786-56-1542
N566UW,678-55-3590
N997DL,462-41-3749
N196DN,770-68-9641
N514AA,245-61-9644
N13997,519-50-9879
N3743H,820-79-3560
N3CGAA,233-12-2587
N947DN,245-61-9644
N3AAAA,784-51-5100
N825AW,528-69-6043
N531JB,831-40-8930
N521NK,109-90-6094
N78448,371-71-7712
N808UA,149-91-3219
N990DL,630-70-0044
N5EKAA,257-42-2709
N368JB,389-85-4534
N620NK,760-64-1629
N435AS,629-96-2205
N820SK,497-97-9365
N698DL,158-86-7747
N239JB,669-06-8482
N809JB,243-11-1164
N627JB,451-31-1208
N508JB,645-41-6338
N519JB,138-48-7224
N402UA,848-57-0644
N407AS,886-78-0750
N3AMAA,749-45-5279
N768SW,336-25-9039
N480HA,899-30-1664
N833AW,191-54-2666
N614SW,654-98-3843
N33209,851-12-7105
N360NW,423-20-7647
N504MQ,220-31-5578
N291SW,784-83-6646
N938DN,792-45-9811
N933EV,799-23-1021
N3AMAA,560-02-2052
N469AS,185-10-8712
N237SW,729-72-2297
N492HA,849-20-1926
N3HCAA,406-54-4350
N767AS,136-07-6319
N510JB,706-90-7602
N908MQ,174-78-6208
N228JB,246-90-9690
N8303R,686-98-4767
N434UA,692-10-8366
N615MQ,398-22-4550
N487UA,630-18-8795
N510NK,426-20-3209
N933FR,300-74-2230
N812SK,312-34-0854
N507MQ,722-52-4126
N48901,107-10-3320
N789SW,297-37-9102
N934AT,176-71-8268
N961SW,735-53-3282
N445SW,347-07-1092
N469AS,277-27-2818
N701BR,836-11-2091
N934DN,820-02-5115
N536JB,751-18-0600
N69804,339-16-3895
N640JB,773-87-8993
N37466,388-99-9108
N237WN,258-69-3099
N935MQ,362-63-1714
N806JB,801-44-4982
N912WN,754-56-7805
N584UW,770-68-9641
N838UA,630-93-6928
N566AS,158-52-8245
N136EV,629-96-2205
N547US,817-30-3274
N780SW,319-78-7153
N905DA,481-33-8579
N334JB,770-68-9180
N5DXAA,458-31-0961
N14950,404-15-1915
N3AAAA,589-70-1090
N114SY,307-08-1583
N453AS,538-49-9737
N566SW,483-69-9575
N48901,691-06-9776
N400WN,371-05-7084
N620NK,151-90-2827
N794SK,293-35-6297
N708JB,112-58-8308
N826AW,301-66-9038
N424AA,425-61-3447
N435SW,112-21-4059
N925MQ,118-63-5349
N5DHAA,196-81-9076
N910FR,190-67-5469
N466WN,734-76-8140
N360NW,402-79-7973
N846AS,180-38-7659
N553AA,171-82-6467
N559JB,207-72-2490
N3KKAA,588-24-8989
N706SW,517-98-3689
N601AW,557-95-7758
N339NB,807-05-4341
N788AA,202-56-5096
N588NK,475-69-1858
N908FR,653-05-5629
N901EV,462-41-3749
N906DE,288-94-6355
N329NW,358-45-9603
N321NB,679-30-7694
N4WLAA,557-18-3122
N934WN,323-28-7411
N584UW,162-34-7291
N403AS,820-02-5115
N615MQ,515-61-3225
N908SW,188-41-2829
N401UA,300-08-6676
N905WN,517-98-3689
N970AT,507-86-7135
N495CA,686-98-4767
N320US,773-87-8993
N952SW,409-13-0404
N329NB,808-91-2831
N3EJAA,223-98-3216
N630NK,446-03-6696
N783CA,741-04-0328
N4YPAA,730-45-4500
N12563,664-59-1173
N549AA,217-51-4425
N475AA,844-51-2614
N506CA,242-38-2668
N407AS,285-49-5210
N910AT,632-92-1875
N402UA,383-16-2472
N932EV,577-47-1862
N482UA,471-84-9809
N76529,319-16-7305
N16987,147-26-7467
N620MQ,108-85-8966
N637MQ,220-31-5578
N544UW,471-45-1146
N609MQ,462-04-0241
N467AA,175-14-7892
N389DA,426-20-3209
N14570,595-71-4824
N3BGAA,343-38-9684
N216JB,531-22-0992
N715UW,834-96-3329
N667DN,688-76-5012
N833AS,811-68-2977
N565UW,808-52-1135
N3743H,604-55-3246
N468CA,575-63-1516
N925SW,580-89-7487
N876AS,386-53-7055
N3HMAA,604-58-8829
N571JB,636-51-7433
N3759,174-67-8572
N806JB,701-11-1646
N979AT,504-05-9446
N3730B,820-79-3560
N505AA,328-36-8126
N861AS,649-06-8559
N296SW,448-22-2068
N3EJAA,217-51-4425
N493HA,290-16-6819
N3HRAA,427-42-9895
N400WN,842-97-3494
N633DL,867-39-6880
N341NW,739-07-2877
N694MQ,411-79-2708
N815AW,783-71-7910
N939FR,245-43-0234
N799SW,868-28-4992
N698DL,331-41-8369
N531JB,239-96-8885
N908FR,319-36-5084
N406UA,311-37-7873
N281JB,288-35-5789
N625MQ,220-31-5578
N3MCAA,192-94-6209
N845VA,432-71-7185
N291WN,175-46-7580
N24224,137-26-3062
N439AA,188-36-2369
N791SK,538-33-5308
N3JSAA,843-30-0962
N124SY,199-88-7339
N3HYAA,597-35-4802
N13997,307-08-1583
N193JB,508-41-4091
N4YPAA,543-99-8290
N3KCAA,298-20-7448
N422WN,754-41-4377
N799SW,192-94-6209
N827DN,392-65-3641
N4XJAA,689-72-9249
N4YRAA,753-30-1246
N915SW,549-01-5574
N468CA,162-34-7291
N21129,645-08-7702
N12996,301-66-9038
N521UW,715-71-7292
N435SW,881-65-4055
N962WN,609-68-2318
N528NK,162-63-1147
N514AA,645-08-7702
N4YPAA,442-37-9818
N11206,231-11-1854
N612DL,711-82-0974
N532MQ,196-81-9076
N824UA,520-98-2329
N358NW,521-29-2713
N780SW,415-88-3711
N924FR,805-74-4005
N534NK,761-68-5861
N3KUAA,627-15-5618
N73276,424-78-2525
N573AA,266-01-0983
N995AT,886-50-9583
N3MAAA,180-38-7659
N185UW,834-96-3329
N211FR,654-98-3843
N625SW,403-79-4759
N3BEAA,414-24-7488
N247JB,681-96-9131
N15986,120-25-3281
N16987,705-89-2646
N3CHAA,601-86-1015
N3DLAA,401-73-6542
N506CA,264-64-7904
N620NK,608-06-0995
N3766,800-04-3306
N3DPAA,484-16-5688
N14570,404-15-1915
N767SK,277-27-2818
N905DA,500-87-0090
N3KVAA,275-33-0780
N692DL,582-34-0140
N965WN,354-71-9241
N536UW,392-42-7270
N742SW,347-07-1921
N847UA,382-07-1152
N967DL,497-78-1307
N813DN,347-07-1921
N740SK,816-04-1979
N3743H,641-69-0321
N754SK,779-99-4773
N3GLAA,322-05-1737
N547AA,784-18-0134
N79521,114-44-0507
N967DL,371-05-7084
,678-87-8056
N467WN,686-98-4767
N7707C,462-41-3749
N526JB,507-59-0248
N593ML,723-12-0905
N651DL,217-51-4425
N831AW,811-28-8002
N481HA,608-06-0995
N443WN,819-59-8381
N3GXAA,225-02-9302
N553UW,296-06-8859
N548UA,424-78-2525
N3BEAA,134-05-5918
N11121,407-52-5466
N930SW,110-43-5062
N556JB,508-29-3632
N3ETAA,268-52-4620
N919FR,517-98-3689
N621NK,821-80-5156
N549UA,665-84-8481
N594SW,247-14-8315
N490UA,823-42-8122
N78509,677-19-7420
N193JB,281-72-0763
N519UW,461-02-7807
N629NK,851-12-7105
N932EV,108-45-2566
N217JC,308-25-3136
N838AS,627-15-5618
N720EV,286-05-9819
N520AA,494-02-0084
N13118,288-50-6583
N374JB,533-87-5460
N911DE,300-74-2230
N57864,281-23-9030
N645MQ,688-99-7601
N323NB,311-37-7873
N667MQ,207-42-7140
N184JB,101-03-8851
N3GLAA,266-83-0010
N832AS,361-55-1524
N3GHAA,850-93-5278
N492HA,798-51-0809
N821JB,423-20-7647
N340LV,416-84-4075
N5DHAA,256-08-9207
N467AA,497-78-1307
N469AA,477-48-8532
N946SW,842-47-2393
N623JB,473-39-4149
N509MQ,136-07-6319
N309AS,776-66-7042
N726SK,629-96-2205
N3EWAA,838-68-3613
N334JB,200-67-8264
N758SK,683-43-0165
N626AS,417-37-2240
N577AS,617-40-9317
N536UW,899-35-4708
N136EV,341-86-0960
N708JB,374-94-8493
N480HA,627-15-5618
N944DL,103-68-7587
N571AA,245-43-0234
N607NK,284-29-7357
N218FR,577-47-1862
N939WN,717-22-2133
N403AS,659-71-4493
N493HA,119-92-7673
N530MQ,869-99-2555
N509NK,565-52-0291
N920DN,174-78-6208
N324JB,543-49-9075
N87531,141-92-3014
N3EWAA,465-35-1033
N560UW,753-97-8615
N853AA,811-28-8002
N68822,748-06-0917
N527JB,632-92-1875
N925SW,307-08-1583
N540US,710-53-4211
N566SW,222-67-7316
N706SW,411-84-4218
N630NK,271-13-4837
N571UW,172-43-9067
N660MQ,538-94-3832
N920FR,150-36-5789
N8611F,683-43-0165
N13970,234-33-7358
N667MQ,243-33-2207
N646MQ,818-37-9543
N821JB,347-07-1092
N13118,543-99-8290
N397DA,526-93-8433
N194DN,383-26-0277
N583SW,429-04-2583
N431AS,157-30-7732
N587NK,604-58-8829
N334JB,276-66-0705
N878AS,645-41-6338
N521NK,576-69-8008
N309AS,311-30-3528
N842VA,665-09-4988
N706SW,343-38-9684
N847AS,198-38-2443
N997DL,361-55-1524
N296JB,748-77-9685
N6704Z,569-83-1325
N547US,507-38-3004
N906EV,436-44-1931
N970DL,507-86-7135
N947FR,616-47-7883
N490UA,418-46-5391
N591NW,539-92-3840
N626AW,150-36-5789
N38417,113-31-3405
N57864,469-66-4346
N274JB,616-26-7996
N920SW,494-37-6520
N970DL,194-13-2381
N949FR,766-26-9562
N194DN,341-86-0960
N37471,545-18-5761
N922DX,113-31-3405
N917SW,436-42-0351
N375JB,246-66-9321
N932MQ,508-41-4091
N8302F,213-14-5050
N760JB,805-74-4005
N3LAAA,865-04-9101
N276WN,277-27-2818
N519UW,757-32-5923
N492HA,506-17-4648
N389DA,632-92-1875
N5DHAA,288-50-6583
N425AA,194-13-2381
N506CA,433-96-2491
N593AS,585-34-8830
N3CGAA,725-79-9398
N227AG,486-76-0160
N12996,859-53-1824
N505AA,494-32-5353
N507MQ,201-43-2973
N502NK,886-50-9583
N573AA,318-90-2579
N659BR,730-53-8012
N352NW,330-84-1831
N496AA,746-49-8285
N397DA,226-97-5641
N948FR,897-01-2511
N470UA,750-93-9352
N744SK,801-44-4982
N491AA,483-55-6757
N648JB,784-83-6646
N567AA,374-94-8493
N877AS,692-10-8366
N7735A,588-24-8989
N640MQ,748-77-9685
N561UW,458-65-6878
N527AS,582-34-0140
N470UA,433-73-4491
N686MQ,298-99-1127
N324JB,531-93-8802
N019AA,844-51-2614
N918MQ,392-65-3641
N930SW,441-66-4669
N594JB,301-66-9038
N925MQ,887-68-8428
N701BR,744-51-1704
N606NK,822-06-7943
N13970,288-50-6583
N553UW,497-10-5363
N831UA,433-96-2491
N432SW,577-47-1862
N569AS,636-51-7433
N161UW,418-46-5391
N990DL,877-86-8040
N357NW,730-53-8012
N467AA,718-57-1402
N623NK,332-68-4888
N402UA,103-58-4566
N769AS,870-55-4563
N3HRAA,720-38-5912
N625MQ,400-42-9057
N13124,811-28-8002
N374JB,460-69-3409
N427SW,736-13-5518
N5PBMQ,665-63-3378
N3743H,816-40-5759
N12122,444-80-4532
N218AG,131-75-0345
N247JB,843-10-5373
N684WN,802-53-7486
N791SK,316-79-9916
N834AS,849-20-1926
N8303R,863-80-6261
N14568,692-01-0952
N633NK,256-08-9207
N706SW,355-38-8834
