empId,empName,shiftTiming,assignedLocation
81-2057432,Maia Pettinger,03:10,N3KUAA
22-8749538,Adrienne Easterling,03:36,Quamba
15-2656363,Addie McNay,02:09,Twinte
02-2951735,Lorrin MacCracken,17:18,N3KUAA
29-8916368,Goldi Gasson,11:45,Twinte
58448656,Judah Scalera,17:05,
87219602,Ali Langmaid,13:42,N3KUAA
80-0788181,Roth MacAulay,15:06,N3KUAA
92-4411983,Rosalinda Judkin,05:16,
64-4677939,Wendy Jore,21:38,N3KUAA
74585343,Peder Wooderson,12:45,Twinte
77-4409192,Cindi Edards,14:59,
62-7853702,Mariya Ferroni,10:51,
20-1854378,Abagael Giraux,10:47,Twinte
28-7575236,Hunter Backes,02:22,
43-3304376,Ruthanne Ruslin,12:29,
21-8508018,Ninnetta Astridge,16:39,Quamba
38-8919387,Amalea Oxlee,20:23,Twinte
20-1180509,Carline Peakman,23:44,N3KUAA
07-8485602,Gearard Bellin,17:32,N826DN
66-0227538,Tonnie Kerrigan,04:29,
80-8114218,Jacqui Sharper,08:43,N826DN
69015059,Jessey Baumaier,00:18,
65-1802476,Bartholomeus McLeod,04:14,
37-9956849,Phil Slaymaker,18:07,N3KUAA
24-1557829,Kimberly Flucker,02:40,
41-3238549,Reinaldo O'Dooghaine,13:50,N826DN
15-0545189,Rori Lambshine,14:25,Quamba
17-3535323,Orazio Gladwell,21:30,N3KUAA
72-2276731,Britt Tipton,13:41,N826DN
97-9613792,Larisa McClenaghan,15:55,N826DN
63-4075652,Giffard Goodday,12:50,N826DN
81-7064403,Fawn Haward,06:16,Twinte
32-2717982,Briny Gascar,15:40,
71-4681481,Bellina Claremont,00:03,Twinte
70-4264732,Annmarie Cobon,06:44,Quamba
57-0234820,Wynne Vivers,05:43,N826DN
52-4096461,Garrot Angless,04:57,Quamba
87-2664576,Mireille Sayes,03:45,
45-2244262,Jeannette Wiggans,00:35,Quamba
65-4578360,Shoshana McDoual,22:13,N826DN
21-7594178,Paulo Vallis,23:22,N826DN
15-7152436,Oralie Luxmoore,13:17,
73-7466705,Allx Borth,16:05,
47-8699697,Farica Flockhart,19:29,Quamba
65-2662455,Alfy Pashba,03:01,N826DN
67-7372659,Tuck Bonsall,02:03,
66-7099781,Camille Swepson,23:37,
96-7005724,Alexandre Upson,21:57,N826DN
24-1297544,Denny Severns,00:38,
78-2968510,Halsy Henden,04:03,N3KUAA
07-4337086,Brnaby Kinneir,21:38,
42-2151425,Jsandye Slograve,09:35,
15-9939151,Lindsy Kensington,13:42,Twinte
65-4686922,Sandye Hitscher,12:27,Quamba
45-8767419,Ainslee Loach,09:27,Quamba
48-9322833,West Domenge,01:33,Twinte
61-4749969,Kellie Pirnie,19:37,Quamba
06-9269713,Ernesto Mc-Kerley,19:24,Quamba
71-8350004,Drusy Tabourel,06:18,
36-3352166,Edlin Thumnel,22:37,Twinte
22-4098341,Gladi Polet,06:21,N826DN
86-0594096,Sidonia Stanlack,04:06,N826DN
13-0120046,Candida Castagnaro,04:28,Quamba
24-4740410,Inigo Havock,20:53,N3KUAA
38-1458875,Jemimah Hallowes,13:58,N826DN
21-8367989,Rosamond Howbrook,13:51,N3KUAA
43205900,Anna Craddock,19:52,
83-9762256,Leroi Pellissier,10:27,
11-0810693,Wynnie Matteini,07:28,Twinte
41-1814019,Armin Shorland,08:53,Quamba
51-8063898,Ricca Dalwood,18:04,Quamba
74689332,Rutledge Rymer,09:28,
94-0606394,Phillip Blincowe,17:36,
13986463,Martguerita Goulbourne,00:29,N826DN
48-0081882,Lilllie Roseaman,02:26,
12-4438141,Meir Keyson,02:21,Twinte
12-9123194,Yasmin Haldane,16:17,
12-4705426,Keir Reisin,22:37,N826DN
95-8736871,Xavier Rose,07:42,N3KUAA
88-3006181,Jaclin Montilla,12:51,Twinte
04-2582562,Horst Jarratt,13:54,N826DN
16-2257653,Alonzo Desesquelle,11:25,
65-3381207,Idalina Laybourn,13:21,Twinte
28-8413169,Cory Wreiford,14:30,Twinte
43881949,Ardra Bouskill,01:25,Twinte
44613758,Harrison Habershon,17:52,N3KUAA
64561291,Marysa Banbury,10:09,
46-3000048,Kippie Ruggier,11:25,
30-0327134,Roy Cowndley,03:10,
29-7192918,Innis Runchman,07:52,Twinte
74-7028512,Tatiania Kilday,15:08,N3KUAA
12-0219553,Florentia Boyack,20:16,Twinte
32573432,Tore Yonnie,00:10,N3KUAA
13-7500916,Sarena Lawes,00:48,
18-3961732,Bibbie Heinle,22:40,N826DN
81-4727772,Charissa Huot,10:20,N826DN
81934931,Giacinta Frye,22:35,Twinte
78253366,Catlaina MacTrusty,06:42,Twinte
11-2854192,Shanta Grenville,08:26,Quamba
36-4082781,Murielle Yanyushkin,01:08,Twinte
85-8331250,Cecilio Scarff,12:33,N3KUAA
00-3840703,Drusy Halliwell,09:38,N826DN
71768849,Nanni Ceeley,22:30,Twinte
57003984,Brigg Simmen,03:48,
82011143,Jasmine Daintier,12:20,
29-1886883,Dagmar Reay,01:20,Quamba
66748100,Ferdie Croisdall,19:26,N3KUAA
85-2460753,Sigrid Sesons,05:43,N826DN
72-7759254,Erinn Sehorsch,19:56,Twinte
31385600,Brennen Cromack,04:35,
13-3682478,Julietta Mcall,15:15,
22-4070316,Mercedes Heinz,05:00,
50-3064046,Clair Swanwick,11:38,Twinte
42-2768876,Virgilio Cotgrave,14:36,Quamba
92-0303422,Mallory Haslam,09:23,
32-2635527,Thomasina Deshon,22:17,Twinte
14-0041526,Justus Corneck,09:11,
09-8868711,Francklin Beamond,14:48,Twinte
92-8071886,Theda Lancetter,04:47,Quamba
91752634,Arnoldo Jolin,09:46,Twinte
57-7609429,Fabian Vosper,04:21,
04-9759667,Nelly Lavarack,06:06,N3KUAA
23-4972815,Angelika Rotherforth,12:48,
01-1685591,Marley Capelin,05:10,N826DN
36704699,Richmound Wallington,19:59,Quamba
25-3397889,Kort Wattins,01:04,
27546303,Carce Spadazzi,05:30,Quamba
44129171,Uta Scroggs,20:45,Twinte
56530033,Sherline Legges,17:14,
75154547,Tessa Oxteby,14:46,
48616085,Jerrilyn Phythien,23:24,
67-7526874,Lauri de Wilde,05:23,
68-0894891,Rozalin Erik,10:38,
25-2958148,Midge Gawne,01:12,N3KUAA
26-7996374,Edmund Cleynman,06:15,Quamba
42253575,Phillipp Gregine,17:27,Twinte
15343391,Micaela Haggerstone,04:13,Quamba
94-0338188,Mozelle Mulrooney,19:33,
66-4170811,Pall Killiner,04:54,Quamba
45642759,Robb Steffan,19:26,
53-0013660,Chester Rickard,23:45,N826DN
94-9014444,Lemmy Haywood,07:36,N3KUAA
94-4485695,Harwell Cutteridge,21:12,
51215065,Gradeigh Klais,05:20,Twinte
17-8403717,Gerrilee Simonato,18:22,
14-1915885,Cointon Guenther,19:21,
30251326,Desirae Cheson,22:02,Twinte
29-3789232,Townsend Ackery,22:06,
31-7859921,Kirbee Ruilton,13:34,Quamba
05-0259339,Drake Sealand,22:54,
88502876,Arleen Vonasek,02:19,
52-8081377,Lorilee Eicke,22:16,
32-9254151,Early Worsalls,17:20,
91303570,Sharai Perschke,14:23,Quamba
01-4413000,Lianne Dingsdale,15:52,N3KUAA
81-1836161,Giacopo Hardisty,12:59,
01-2307048,Betsey Powling,09:16,Twinte
32-3224025,Carmen Sedgwick,18:58,Quamba
00-0659198,Maryanna Crasford,23:33,
40-0510264,Mendie Brigstock,05:46,N3KUAA
94-3163186,Moe Casajuana,08:39,
28-9676471,Eadith Aslet,08:55,Twinte
08-4642760,Thomasina Chamberlen,16:14,
75-9570510,Dayle Yaxley,02:52,
63-1724503,Phineas Losseljong,18:23,
47415498,Romy Smorthit,09:13,N3KUAA
50187860,Cynthie Stilgo,00:06,Twinte
58-1604355,Connie Ennever,02:00,
42-7164889,Maybelle Lucian,05:16,
42-0679916,Skipper Lidgate,02:53,N3KUAA
63-7066461,Batsheva Boddington,20:56,N3KUAA
96-0581649,Berti Dudill,06:57,Quamba
71600105,Emelen McGillecole,04:29,Twinte
78-4976976,Antonina Hanford,01:46,
53-8294396,Arly Toyne,09:58,Quamba
07-4836093,Sydney Oneill,10:36,N3KUAA
80826089,Peri Stanlock,22:24,N3KUAA
29-4307020,Eloisa Leefe,15:31,
36609486,Esmaria Burford,13:16,Twinte
04-8665259,Zsazsa Comello,17:44,N826DN
04-9578705,Wat Calvey,11:28,N826DN
56721705,Mar Beggio,11:25,Quamba
07-1924808,Brigid Eslemont,04:07,
95-4065967,Donella Harmes,07:31,N826DN
29-7398542,Janaye Hanham,19:38,Twinte
4397812,Carmita Marrow,11:55,N826DN
39314643,Justinian Colam,21:11,Quamba
89-8947530,Judi Birkinshaw,16:42,N3KUAA
92-1111954,Joycelin Delap,05:12,Twinte
51639942,Dunn Haughton,15:42,Quamba
33630710,Kizzee Troak,04:35,N826DN
18-3140583,Colly Landers,00:48,
65-9746123,Marice Prescot,21:37,
04-7951632,Maisey Dougharty,22:59,N3KUAA
49-2363515,Pepi Nuth,10:32,Twinte
16-3170852,Odelinda Leband,12:23,Quamba
61-0619017,Humphrey Cana,13:22,N826DN
62-3547960,Poppy Todari,08:19,
30-2283812,Colby Eeles,17:04,
62-7882697,Giana Forlong,04:31,
46-7272405,Clea Falla,06:18,Quamba
44006587,Lucy McAlister,00:30,Twinte
80-1433635,George Peiser,14:38,
50-9229767,Penny Moyle,05:36,N826DN
94-9328951,Urbain MacVay,20:13,Quamba
27-3598129,Vernon Mildmott,16:46,N3KUAA
44-8993646,Valentijn Yate,22:48,
14-2152150,Idalia Grolmann,05:39,Twinte
78-3900649,Rozelle Fennell,17:44,Quamba
19585109,Dre Emanulsson,02:07,
54177425,Terza Tythacott,10:56,Twinte
75784129,Prudi Varley,18:27,N3KUAA
22-8859596,Carmine Compston,10:49,Quamba
81-4041172,Norean Mudge,22:16,
13-9950567,Aggi McGahern,06:00,N3KUAA
9580311,Dee dee Miskin,10:01,Quamba
86-8060938,Forrester Brimming,21:06,Quamba
56-7887863,Nady Sprulls,07:51,Twinte
95-8162090,Jere Maylard,13:13,
94-7247703,Archibold Hobell,00:29,Quamba
31-7741252,Uriel O'Fallon,23:48,N3KUAA
6531790,La verne Abbess,02:20,N826DN
63-3860912,Ailsun Antonat,06:18,Twinte
85-7721533,Brittan Garrold,15:59,
70-2377791,Nissie Trenoweth,07:44,Twinte
34-2508215,Sybilla Feeney,18:21,Quamba
83-0451643,Bronnie Willers,09:11,N3KUAA
51-4732045,Regina Pancast,04:33,
72-3153954,Olympie Bradberry,06:06,Twinte
94-8836163,Ileane Friberg,12:10,Twinte
00-9296234,Thatch Treadway,12:45,Quamba
92-7373197,Nobe Tinston,09:10,N3KUAA
70-4529785,Gerry Derle,10:10,Twinte
34-9917782,Lucky Manvell,06:18,
25431373,Guntar Reeks,01:35,
56-2884952,Tara Dran,05:50,Quamba
87-1076150,Sebastien Nadin,07:19,N826DN
45-0517788,Jeannie Wann,11:15,
11-2268476,Shelli De Gregorio,16:46,
41-1385445,Avram Forker,00:36,
42015997,Roscoe Flaws,08:31,
64-4066205,Chevalier Lissenden,15:29,N3KUAA
18-4297282,Darice Jordon,23:50,
90-4710986,Melisa Turmel,21:31,
10-4629142,Uta Cafferky,13:28,Quamba
64-7614057,Nicolis Chamberlaine,11:37,
52-0525077,Tanney Trammel,11:59,Twinte
52-4768447,Zena Rau,23:12,Twinte
6718887,Arluene Woodnutt,05:23,N3KUAA
16-9335706,Jacquetta Elvy,22:29,Twinte
19-2071466,Janene Houtbie,17:41,N826DN
49-7812929,Rosalind Fagence,17:05,
67-2621682,Pearce Ferraraccio,23:55,Twinte
53-0153012,Amalee Denington,10:07,
53609625,Abagail Lonergan,01:06,
81-1953211,Tracey Gawthrop,12:52,
75-2872974,Chanda Pittway,03:27,Quamba
25-2418928,Giavani Cassey,20:15,N3KUAA
40779260,Lethia Peirpoint,11:40,N826DN
81-4304280,Berton Pounds,16:36,Quamba
31-4461601,Jonell Tacey,01:02,
41-9659930,Barron Gainforth,02:29,Twinte
67-9981836,Wyatt Warboy,17:20,Twinte
73-2911289,Geneva Nial,18:24,N3KUAA
96-8562879,Tobe Chrestien,06:38,
66-4788523,Adrienne Gunny,15:00,Quamba
54-2319040,Micheal August,15:59,
51-0941920,Jereme Skayman,21:27,
60-9047673,Rod Finlator,09:30,Twinte
14-3216125,Mitzi Ekkel,07:45,Twinte
13-1029928,Gretal Ronisch,23:27,
37-2499632,Helena Capstaff,04:59,Twinte
06-4139816,Nikita Prall,08:57,Quamba
47-3543145,Kellen Banister,15:36,Twinte
