empId,empName,shiftTiming,assignedLocation
17-1767768,Morse Bell,17:13,east Block
06-1405903,Derril Korneluk,13:38,North Block
60-0436777,Nicola Arnow,20:17,Immigration
00-9782491,Xylina Liccardi,08:50,South Block
74-5554803,Padraic Fillis,10:51,west Block
53-5932552,Ewart Conybear,13:20,South Block
84-5276557,Paolina Jojic,19:13,Immigration
23-7806277,Dael Cuttings,16:25,Security Clearance
01-1083267,Clerkclaude Binton,07:24,west Block
73-7956668,Leonardo Gawthrope,08:47,South Block
46-5448887,Matteo St. Queintain,14:58,Security Clearance
43-9196162,Curry Grass,11:18,west Block
93-3965265,Anallese Spurryer,03:31,east Block
04-6016647,Angelico Gonnel,22:58,Immigration
56-1943337,Sherrie Ostrich,04:20,South Block
47-7727829,Ferne Romi,22:49,Immigration
92-4882710,Sky Siflet,20:37,North Block
09-5573624,Cara Forstall,19:49,North Block
61-3085715,Forest Arboine,05:27,Security Clearance
13-2145192,Serge Klimushev,22:12,North Block
84-2716111,Kimmi Eustis,20:17,South Block
75-7024225,Robbyn MacKaig,02:16,Immigration
24-0189726,Dirk Rockcliff,05:30,Immigration
70-5029919,Elissa Waterfall,19:34,South Block
58-6196819,Emera Georgeou,14:49,Security Clearance
87-3062383,Man Cash,06:22,Security Clearance
26-0748252,Jasmina Philpault,11:52,east Block
37-9734524,Marybelle Banck,20:28,Immigration
46-9719629,Ruthanne Garrett,04:57,Security Clearance
22-3744940,Ibbie Fuzzey,04:12,west Block
34-1471985,Dorelia Golagley,11:20,Security Clearance
43-6145839,Godart Messenbird,23:51,North Block
76-6353299,Brady Stout,17:52,Immigration
17-5492061,Joshuah Broader,11:44,east Block
32-5916260,Waldemar Humburton,04:51,west Block
43-5250879,Kristian Butter,05:19,Immigration
78-8341095,Ambrosi Hitscher,11:42,Security Clearance
90-7508116,Goldie Yakuntsov,20:02,Security Clearance
70-7867288,Nestor Klampk,03:55,South Block
37-4800621,Fabian Doyland,12:57,west Block
01-1521031,Codie Brimm,22:02,Security Clearance
80-0197261,Lucho Spenclay,16:45,east Block
97-1698379,Agnese Curd,15:56,Immigration
95-1791318,Mable McIlwrath,17:14,South Block
35-9573886,Ebba Burtenshaw,18:16,Security Clearance
84-8745092,Mathilde Lacky,14:39,South Block
24-4494573,Cordell O'Leary,10:16,west Block
54-7191013,Ardenia Landon,17:30,east Block
49-3064894,Garv Ramsted,08:57,east Block
84-8808640,Cal Petteford,01:34,Security Clearance
98-9877771,Simone Clynter,14:52,Immigration
14-2154772,Welch Bednell,20:16,South Block
66-8301695,Kimberley Ysson,22:54,Security Clearance
01-8778495,Galven Sleightholm,15:03,west Block
58-1070461,Ealasaid Edess,10:08,east Block
31-3104734,Winfield Fulcher,23:08,North Block
11-7862929,Stanton Glenny,17:31,Security Clearance
22-0154224,Wilmette Attwooll,07:36,west Block
83-1148499,Kelvin Lardge,15:20,west Block
70-5968187,Maddy O'Hallihane,06:59,Immigration
02-4091174,Jo Solland,02:31,South Block
11-7012039,Gearalt Moakler,23:32,South Block
93-0430208,Breena Dowbekin,02:55,South Block
68-2819922,Ware Tran,05:18,west Block
39-8743562,Hazlett Geerling,19:22,North Block
53-5425550,Danyelle Wickstead,19:23,Immigration
86-7315713,Faulkner Tuley,23:28,Immigration
80-6683108,Jude Banck,04:04,Immigration
36-8977027,Shay Bartolic,20:19,west Block
03-1952207,Danyette Preator,14:00,east Block
36-4183796,Debbi Jenson,21:05,east Block
91-4628814,Sib Rosario,05:08,Security Clearance
07-6498619,Tobit Gaspar,06:25,Security Clearance
53-3059909,Elianora Lenahan,15:00,Immigration
64-3807424,Arline Jojic,21:09,Security Clearance
73-4603815,Livvyy Bortolutti,02:49,Security Clearance
26-5661870,Madalyn Peatt,06:46,South Block
95-5073711,Mable Haycock,02:24,west Block
45-6849657,Kendal Daber,13:04,South Block
45-4202335,Dione Eglington,10:35,North Block
43-5329006,Inessa Paulsen,05:42,North Block
35-6675291,Aggi Elen,14:19,North Block
57-1756586,Hoebart Burdett,09:33,North Block
95-6749631,Dale Maiklem,04:51,North Block
24-7683761,Edi Breazeall,23:28,east Block
51-1825045,Henka Abercrombie,12:19,Immigration
05-3818933,Nellie Delgardillo,23:45,North Block
24-9985366,Yves Conyard,02:24,North Block
94-5804227,Estella Chantree,08:17,North Block
62-1157170,Sherilyn Yerrell,09:04,west Block
84-8492829,Travis Newark,17:21,North Block
42-1699834,Annadiane Pelman,16:50,South Block
56-1999939,Leta Hargerie,08:25,South Block
62-2424327,Francoise Tomlinson,03:43,west Block
95-6642053,Derwin Lodder,09:33,east Block
27-8717359,Brigg Offener,13:25,Security Clearance
56-2063241,Clemente Crennell,11:16,Immigration
10-5024884,Suellen Glaserman,00:47,Security Clearance
21-1565639,Stillmann Whitchurch,22:41,east Block
60-7644474,Mohandas Lodge,19:10,east Block
85-3243583,Bryon McBryde,07:32,North Block
99-7405912,Helaine Henriet,13:50,South Block
19-0979144,Skippy Longcake,07:52,North Block
54-4366035,George Ralphs,01:21,North Block
14-9973839,Matt Lardner,19:09,Security Clearance
66-6901781,Gwennie Toolin,15:09,west Block
45-6264369,Manuel Adicot,01:26,Security Clearance
40-6712402,Bertrando Vennart,11:56,west Block
16-4594549,Katie Bolingbroke,12:57,west Block
20-6703906,Mercy Visco,13:23,South Block
33-4866147,Liana Purple,03:55,North Block
04-9547819,Cordie Tomaskov,07:26,Security Clearance
07-2985515,Saleem Ambrois,16:57,west Block
91-9315409,Ursula Portress,22:42,Immigration
48-6990483,Winnie Adlington,07:38,Security Clearance
84-9044314,Luz Carrell,08:16,Immigration
63-3074790,Auria Taysbil,07:18,east Block
16-3893192,Robinson MacCaughen,23:49,South Block
67-1095912,Emmalynn Dall,06:00,Immigration
38-8998833,Bride Van Geffen,18:22,Immigration
18-3859164,Christiana Jaqueme,05:00,South Block
27-9185071,Rania De Michele,05:05,Security Clearance
88-3736428,Lorilyn Bartalin,03:50,east Block
87-4701001,Alexandrina Clever,03:56,west Block
19-1888723,Rodi Sergent,10:32,east Block
35-0481576,Jo Bunning,22:27,South Block
20-7525462,Joete Paxman,09:35,North Block
88-6855929,Correna Waddilove,00:16,Security Clearance
59-9145335,Enoch Finci,14:55,east Block
48-0782660,Cross Piner,06:56,Security Clearance
46-9170147,Zarla Hannaford,07:57,Immigration
95-2396852,Jeanna Perchard,02:13,Security Clearance
65-3419539,Reilly Choupin,14:20,South Block
60-3986982,Lambert Critzen,02:58,east Block
12-9935147,Marlyn Oldridge,07:37,west Block
52-6807436,Brade Capenor,19:41,west Block
28-4155563,Yardley Boydon,21:00,North Block
56-2389793,Slade Stonuary,06:40,Immigration
89-9656852,Ricca Kneeshaw,02:07,west Block
67-8866094,Aubrey Keywood,12:20,Immigration
99-4328776,Flossi Tessyman,05:24,east Block
45-4865707,Gregorius Neem,21:28,South Block
41-9449881,Rinaldo Borthwick,03:23,South Block
85-4978731,Piggy Stapleton,14:25,Security Clearance
58-8377809,Broderic Durrans,09:47,Immigration
11-5984392,Cara Dirkin,16:52,west Block
76-8467900,Thebault Farlamb,08:43,Immigration
74-4316097,Leopold Sugg,01:09,east Block
43-5862641,Olivie Gudgion,09:42,west Block
43-2774427,Hillie Hanscombe,09:33,Immigration
54-1540627,Berni Jahner,19:41,east Block
68-6493956,Kerstin Othick,02:49,east Block
87-8856084,Rodolfo Lukacs,09:22,west Block
55-1227416,Binny Binks,12:46,Security Clearance
81-3694943,Maximilian Janney,03:39,Immigration
77-7944754,Emile Glendenning,00:38,South Block
37-3617297,Devlin Biasetti,08:02,South Block
39-3454476,Lissie Hazeltine,07:20,Immigration
10-0374290,Oswell Poundsford,01:19,east Block
91-7357046,Talyah Sercombe,14:04,west Block
98-9769936,Aldon Lavalle,16:02,North Block
66-6378375,Charlotta Churchard,10:00,Immigration
73-7166421,Mercie Shuxsmith,23:09,North Block
73-8209425,Jeddy Gouck,21:34,west Block
19-4304851,Jerrine Clarkin,23:43,South Block
93-9230256,Tarrah Sans,21:18,North Block
26-5790738,Dorrie Gobeau,18:52,South Block
45-6683169,Janos Decroix,16:22,South Block
56-8199333,Ruthy Birtchnell,18:09,South Block
02-0604111,Brooks Bignold,06:52,Security Clearance
51-3952053,Antonin Cosans,21:35,east Block
95-8790392,Nisse Cadman,17:46,east Block
45-0556317,Dorice Trendle,11:13,east Block
69-1225501,Rabi Fibbens,07:25,South Block
91-8663520,Parke Patterson,15:33,west Block
32-7723583,Washington Hew,01:03,Immigration
46-5008402,Titus Thurborn,18:19,South Block
92-3827560,Pippa Filmer,07:25,Immigration
13-5518642,Estrellita Otley,21:39,South Block
36-4892533,Carie Braithwait,03:35,west Block
12-3571572,Bradford Roiz,09:22,Security Clearance
87-6929736,Sher Gration,04:17,South Block
59-5070449,Corbie Trownson,18:13,South Block
80-8446893,Kipper Borell,02:57,Security Clearance
66-5134925,Federica Fawltey,09:43,west Block
82-4139161,Ken Eccles,00:37,west Block
24-5923005,Cloris Stanluck,14:46,North Block
77-5877400,Dolph Demkowicz,07:06,west Block
85-8101487,Isabel Entwhistle,10:38,west Block
65-1351734,Hilliard Serrurier,18:27,east Block
44-9354231,Giavani Searchfield,14:54,North Block
91-7763071,Sigfrid Persicke,07:20,North Block
21-1856589,Ervin Campsall,01:31,South Block
25-5842610,Leonardo Beasley,16:18,west Block
69-6889188,Berkly Le Merchant,23:29,North Block
85-3305230,Frasquito Mottini,10:14,South Block
24-7552808,Renee Lorenzin,03:13,Security Clearance
71-2594205,Gard Begin,08:16,west Block
45-6369448,Judi Chadbourne,08:32,North Block
86-7212608,Sonni Dyet,11:14,Immigration
87-5168764,Yard Dufaire,22:12,east Block
21-9131687,Padgett Wandless,18:52,east Block
04-5820102,Holt Alvey,17:57,Security Clearance
29-1157170,Britt Haimes,04:31,Immigration
52-0995820,Dante Hiseman,11:23,east Block
23-5783131,Witty Hudson,15:49,Security Clearance
07-5074945,Fedora Lidgely,20:33,east Block
91-4884157,Val Pautard,10:49,east Block
22-4708528,Andrei Handley,18:21,east Block
51-2891505,Martica Woolgar,14:52,east Block
64-2950347,Norma Children,00:39,Security Clearance
94-5149871,Ardelia Gellately,02:00,Immigration
32-8247532,Gussy Leason,01:08,west Block
84-4024250,Lynne Simko,19:24,North Block
08-6924967,Jaclyn Myderscough,22:04,west Block
07-7587178,Earlie Jamrowicz,14:40,Security Clearance
29-7124282,Carroll Persian,06:56,South Block
87-1044789,Humbert Vynoll,14:01,east Block
92-9421271,Skye Dudenie,14:09,west Block
47-5522678,Samaria Tegler,12:25,Security Clearance
29-0758105,Ariela Glentworth,11:41,North Block
56-9134113,Felic Langhorn,17:20,west Block
38-5397443,Ebeneser Eadington,00:56,Immigration
94-9623966,Chery Jakubowsky,04:12,east Block
72-0712246,Frank Divill,03:15,North Block
02-8094113,Pen Zamora,11:34,South Block
39-1715258,Veradis Choak,19:18,west Block
65-7866092,Annnora Start,07:57,Immigration
32-4982560,Elaine Zuann,21:10,South Block
13-1339344,Dannye Defraine,18:52,east Block
22-3526817,Marje Wilfling,05:37,Immigration
02-8280347,Georgina Dovermann,08:17,South Block
54-3032141,Ronnie Rosendorf,22:55,west Block
36-4294193,Mick Myrkus,22:44,east Block
53-8950183,Kingston Grosvener,13:03,North Block
59-5368219,Bartlet Iacomelli,06:11,east Block
07-9901685,Culver Glenfield,18:15,North Block
66-0409207,Tabina Ethington,05:42,east Block
08-5914344,Cairistiona Postins,00:33,east Block
85-0697462,Rosamond Durrett,14:32,west Block
88-9024939,Gussy Roblou,04:19,North Block
54-6984342,Hedwig Hawes,22:09,South Block
68-6195049,Royall Braithwaite,03:59,North Block
34-7559692,Roby Johnsee,02:44,North Block
42-2741581,Nina Stripling,04:22,South Block
39-0469868,Daffy Venart,11:00,west Block
71-0640102,Erin Othen,02:54,Immigration
63-9819055,Jacquelin Snassell,18:32,west Block
71-8839295,Tomi Cowan,13:18,west Block
56-7545867,Iggie Fausset,08:29,east Block
89-9657931,Enrique D'Abbot-Doyle,19:59,South Block
31-6051821,Luci Matityahu,23:10,Immigration
42-0420583,Avram Dolby,15:19,Immigration
72-4510716,Ammamaria Gledstane,17:53,Immigration
22-5014441,Ashleigh Minchinton,04:47,North Block
40-8051928,Hew Thewles,03:26,west Block
82-9267838,Kristyn Ewbank,04:06,east Block
48-1099682,Norris Gianninotti,14:30,North Block
14-5549172,Lilias Scarff,05:18,North Block
06-8345375,Carmen Feedome,04:20,Immigration
81-2950184,Stephenie Cuddon,15:53,Immigration
77-1994058,Brewer Francello,23:36,west Block
80-0501844,Kerry Segebrecht,09:47,South Block
23-0740499,Joete Aleksandrov,12:02,west Block
07-0282371,Aggi Fossord,04:01,Security Clearance
17-9366030,Asher Etienne,04:22,South Block
44-9555305,Jeromy O'Day,16:17,east Block
93-6469130,Midge Pinching,02:54,North Block
45-9389496,Brand Benzies,12:26,South Block
28-3391481,Annis Pickavance,04:09,Security Clearance
00-6991629,Billye Risbie,10:46,Security Clearance
85-7194029,Hollyanne Poundsford,06:08,west Block
85-4311643,Shaun Coslett,02:31,Security Clearance
47-5596414,Abbi Howorth,17:43,east Block
67-4893427,Shepherd McGraw,04:42,North Block
61-8558070,Monica Marlon,02:32,east Block
42-6804279,Claudia Kildahl,21:18,east Block
56-8389527,Moira Bolliver,17:16,Security Clearance
49-2281056,Bald Conklin,17:37,east Block
33-4289112,Hunter Spyer,00:09,west Block
86-0622690,Pattie Schankel,17:53,North Block
69-0200227,Pavlov de Clerq,01:56,west Block
96-4806033,Harrietta Grellis,21:40,North Block
94-7370878,Blinny Snuggs,11:47,South Block
57-3357101,Ardra Esplin,00:21,South Block
09-6071374,Ellissa Jancic,14:02,Security Clearance
22-1110811,Ruben Witter,06:50,South Block
06-2139923,Brewster McPhillips,22:19,east Block
02-9368704,Alexis Warne,18:10,west Block
39-1043016,Archibaldo Ollis,13:42,South Block
85-1558875,Jeff Keneford,21:06,west Block
28-0919861,Benyamin Longland,05:15,North Block
28-5392604,Jeremias Phizackarley,08:16,North Block
48-3606195,Rebekah Downing,12:57,west Block
26-2980214,Catlee Grishunin,08:28,east Block
90-9962248,Eward Wickwar,03:19,west Block
84-8565318,Daniela Gytesham,04:09,Security Clearance
35-6433113,Evey Grigg,04:52,North Block
22-8006773,Timofei Rosborough,18:52,South Block
05-1700277,Hillary Grant,11:55,North Block
64-6831147,Harwilll Berthe,06:59,Security Clearance
59-7045967,Carolyne McAvaddy,07:32,Immigration
80-2685759,Barde Westmorland,20:26,west Block
21-6710215,Gwennie Hurdis,00:18,North Block
89-5121734,Ermin Argo,00:07,South Block
66-8481755,Robinia Feeley,01:54,Security Clearance
09-5765817,Errol Elsop,10:53,Security Clearance
91-4900855,Sheilah Geipel,04:11,Security Clearance
64-8703952,Aland Quaife,14:56,west Block
08-7830766,Nissa Jarnell,09:00,east Block
17-9822822,Roze Delooze,18:54,South Block
35-9683402,Goober Kollasch,09:15,east Block
18-5244150,Lynn Fominov,12:14,east Block
08-0329542,Kalvin Wyllt,13:15,Security Clearance
51-4740450,Jessee Radleigh,00:33,east Block
66-3594109,Jackie Infantino,02:44,Security Clearance
70-4964169,Kurtis Hitzmann,00:30,Immigration
70-2191650,Gert Tussaine,12:27,North Block
90-9897663,Carter Cund,03:36,South Block
92-4707238,Nellie Tryme,19:42,Immigration
86-3228915,Kirsteni Swinn,07:59,Immigration
47-5282090,Berti Doidge,13:49,Immigration
38-9038761,Bernice Stilwell,23:29,South Block
72-1214600,Aundrea Ollin,05:05,Security Clearance
20-5551327,Gisella Tolcher,17:16,South Block
86-6335727,Lavinie Ammer,02:24,east Block
36-5802727,Decca Crossby,23:42,east Block
15-1086908,Kayla Hainsworth,10:19,Immigration
51-3763547,Kally Punyer,14:02,west Block
06-2549693,Stephana Thal,02:29,North Block
02-1456923,Turner Pudden,18:39,east Block
24-2866046,Robinson Neasam,11:40,North Block
67-2624075,Roselin Yeardley,12:43,east Block
01-4401127,Christiane Bore,12:17,Immigration
46-4693830,Casey Nenci,13:34,Security Clearance
86-1332330,Danika Feld,19:52,east Block
87-3611238,Webb Muncie,10:55,Security Clearance
05-9273510,Gerladina Birley,03:54,west Block
59-2001984,Dulce Verney,05:13,North Block
05-4432395,Marlie Birdwhistle,08:13,west Block
40-4548637,Eloise Abram,09:40,Security Clearance
83-5797010,Joelie Emanuele,13:18,Security Clearance
00-3491701,Kiersten Franzotto,04:45,South Block
62-3957909,Dalston Winspare,10:58,west Block
19-8870687,Lorilyn Ericsson,04:53,west Block
24-3371900,Barnett Bend,14:23,Immigration
74-5722426,Bealle Reinisch,00:37,North Block
86-6672647,Jammal Dyment,10:42,east Block
28-7414730,Lilian Barry,14:31,east Block
40-3423299,Gordie McLardie,15:32,west Block
43-8900304,Ardisj Szachniewicz,02:23,South Block
71-8000840,Pavel Gorden,06:33,west Block
04-8407091,Hasheem Vasquez,18:55,Security Clearance
63-9810430,Cornall Ivashintsov,19:18,east Block
79-5488525,Valentino Wyleman,06:08,east Block
78-3497083,Brook Lummis,21:39,South Block
57-7538938,Cheston Cuardall,21:20,Security Clearance
42-2088927,Marguerite O'Fogarty,22:21,west Block
96-3274640,Agretha Tettersell,10:47,North Block
12-3601356,Bale Dilworth,02:10,east Block
44-6108102,Lenette Garretson,22:14,west Block
85-9929691,Clayton Muckart,07:26,west Block
18-7683902,Skye Blasiak,09:24,North Block
40-7292854,Dulcia Cothey,12:51,North Block
28-9333550,Abdel Ditts,13:12,west Block
59-3851372,Kleon Conaboy,17:54,North Block
50-6668288,Felita Goricke,21:16,east Block
38-3528279,Cacilia Barense,07:55,Immigration
96-9952383,Emilio Reichardt,21:39,west Block
06-2453426,Aldus Lavell,11:53,Immigration
81-2950978,Davidson Fidelus,20:32,Immigration
83-5525848,Jermaine Coopey,01:41,South Block
11-9337305,Cherie Blyth,09:18,Immigration
30-3956718,Perl Dusting,20:33,Immigration
28-3399277,Roderigo Egentan,05:10,Security Clearance
51-4378562,Abagael Devenport,05:10,Security Clearance
57-7328301,Corena Berndtsson,14:19,Security Clearance
69-5836067,Eyde Brunelleschi,20:30,Immigration
93-9231138,Holli Tattersall,19:49,Security Clearance
44-5698916,Anne-marie Morhall,07:26,Security Clearance
95-7850420,Garrek Bouttell,11:42,North Block
58-7698665,Raina Baford,15:50,South Block
56-1228102,Roxy Matschuk,16:51,North Block
13-1560333,Emily Aveyard,08:53,South Block
58-5923226,Doyle Giraudoux,20:43,Security Clearance
94-3419860,Rosalind Lansley,13:14,west Block
62-0201370,Dulcine Goolden,09:17,east Block
52-5436982,Birgitta McColley,19:48,Immigration
82-9651793,Britteny Pelos,14:04,South Block
39-5852679,Isiahi Clarke-Williams,12:32,Security Clearance
98-6617844,Izak Fearnsides,08:58,east Block
05-6480236,Morten de Cullip,14:02,Immigration
29-6143936,Lacy Myrtle,00:38,east Block
99-9372272,Pacorro Jensen,13:11,west Block
17-7669310,Cassius Ahrens,10:59,west Block
92-2258879,Carena Oherlihy,22:13,South Block
95-5044859,Gennifer Kubes,01:51,North Block
28-0946947,Annis Nuss,03:44,west Block
01-5976452,Tine Defty,10:18,east Block
16-3950110,Brandon Haugeh,03:34,Immigration
97-6919799,Coralyn Pollie,12:14,South Block
08-8221372,Cleopatra McIlwrath,13:48,North Block
94-0839153,Zane Pester,06:58,east Block
44-0288797,Arabel Baughan,21:42,North Block
84-2852922,Rabi Braunstein,00:14,Immigration
54-1409396,Bree Gockelen,04:37,North Block
14-9984859,Paloma Abercromby,01:47,Immigration
17-6032164,Constance Belleny,17:57,east Block
71-8347585,Kelsey Bruntjen,06:51,Security Clearance
63-5329992,Risa Tankard,08:56,North Block
34-3160390,Antonino Derill,04:23,Security Clearance
60-1708477,Delilah Aizikovitch,12:03,South Block
31-4992117,Norby Baggot,18:14,South Block
15-5342056,Clayson Blasdale,02:33,South Block
74-7985221,Carie Sans,20:10,Security Clearance
45-7634441,Maisie Wordesworth,00:06,South Block
01-7804458,Molly Riccelli,23:43,Immigration
96-5499028,Natale Merdew,15:13,east Block
48-7197319,Rodd Itscowicz,09:28,west Block
49-7517582,Lu Teanby,06:54,west Block
17-2702455,Siana Cutridge,20:03,west Block
08-2885266,Hildegarde Leehane,00:37,east Block
01-6929183,Fee Prandy,22:01,North Block
96-4421004,Eldredge Clifton,07:16,South Block
26-0261189,Ursula Daughtrey,14:55,South Block
96-9920323,Tremaine Brattan,20:56,South Block
03-5068188,Berk Ethersey,12:00,North Block
70-7850904,Else Castledine,08:54,east Block
26-9782799,Lisha Haylett,11:22,Immigration
99-3743575,Retha Calbaithe,11:22,Immigration
82-9436721,Tonya De Cruce,05:17,South Block
25-2596364,Nerti Hedworth,07:42,Immigration
11-0319771,Krystle Gardiner,14:35,Immigration
79-5318446,Shelia Crewdson,11:05,South Block
61-3498655,Loralie Philipart,01:35,South Block
89-4807184,Vic Yarnold,00:25,Immigration
00-5345227,Marsha Bernakiewicz,02:36,North Block
29-9134156,Vivien Turk,20:52,Security Clearance
65-1054639,Rourke Cullity,15:54,Immigration
87-5107121,Mommy Buzine,10:41,west Block
06-4961771,Martyn Wratten,08:46,west Block
21-3036831,Jone Siccombe,22:36,South Block
69-8897093,Terri Mauro,21:57,North Block
32-5250521,Sauncho Adlem,15:03,Security Clearance
74-3778506,Shellie Matuszinski,15:10,east Block
35-5107355,Cy Laffoley-Lane,13:25,North Block
