empId,passengerId,checkDate,checkTime
95-6749631,719-01-6586,2021-02-19,7:08:54
24-7683761,630-18-8795,2021-02-10,0:01:02
51-1825045,817-89-5770,2021-02-17,17:22:23
05-3818933,443-31-9318,2021-02-18,10:18:52
24-9985366,264-64-7904,2021-02-20,17:26:59
94-5804227,497-97-9365,2021-02-12,9:40:21
62-1157170,749-73-9392,2021-02-13,19:50:56
84-8492829,798-51-0809,2021-02-18,9:56:45
42-1699834,466-31-9757,2021-02-13,12:46:50
56-1999939,157-47-8081,2021-02-17,1:24:49
62-2424327,136-16-4848,2021-02-15,5:03:33
95-6642053,413-03-4787,2021-02-19,7:03:26
27-8717359,692-10-8366,2021-02-13,5:39:46
56-2063241,358-23-6694,2021-02-13,23:07:41
10-5024884,342-35-6452,2021-02-16,7:18:54
21-1565639,416-28-1702,2021-02-19,0:24:32
60-7644474,720-38-5912,2021-02-10,19:56:15
85-3243583,595-71-4824,2021-02-12,23:14:55
99-7405912,557-38-0286,2021-02-16,21:07:11
19-0979144,187-60-1927,2021-02-10,23:02:36
54-4366035,451-31-1208,2021-02-08,21:05:15
14-9973839,898-30-2226,2021-02-09,19:10:40
66-6901781,875-86-9664,2021-02-15,22:44:08
45-6264369,224-28-9515,2021-02-13,9:38:44
40-6712402,512-39-3747,2021-02-07,14:03:13
16-4594549,406-43-8118,2021-02-12,12:46:35
20-6703906,190-30-6857,2021-02-17,15:15:55
33-4866147,649-06-0547,2021-02-15,21:53:28
04-9547819,144-82-7573,2021-02-11,21:15:10
07-2985515,304-88-9052,2021-02-07,21:44:08
91-9315409,676-10-3196,2021-02-09,21:14:21
48-6990483,486-76-0160,2021-02-14,9:35:37
84-9044314,377-98-0359,2021-02-15,5:11:59
63-3074790,849-20-1926,2021-02-19,13:46:03
16-3893192,407-52-5466,2021-02-09,1:38:59
67-1095912,418-65-8672,2021-02-20,7:21:22
38-8998833,843-10-5373,2021-02-12,3:00:04
18-3859164,608-27-0002,2021-02-10,12:37:36
27-9185071,423-02-0046,2021-02-12,9:51:02
88-3736428,895-62-0290,2021-02-13,17:23:21
87-4701001,361-55-1524,2021-02-11,11:54:20
19-1888723,222-39-2285,2021-02-20,9:49:00
35-0481576,290-16-6819,2021-02-14,15:29:41
20-7525462,737-55-5579,2021-02-11,2:54:14
88-6855929,347-54-2119,2021-02-08,7:55:49
59-9145335,878-47-1486,2021-02-12,10:31:12
48-0782660,648-76-1548,2021-02-07,18:43:13
46-9170147,258-69-3099,2021-02-17,19:49:23
95-2396852,429-25-2582,2021-02-19,19:48:43
65-3419539,525-60-6805,2021-02-10,1:47:25
60-3986982,748-77-9685,2021-02-09,1:09:42
12-9935147,352-90-6549,2021-02-20,22:43:12
52-6807436,275-33-0780,2021-02-12,16:53:27
28-4155563,216-96-5863,2021-02-14,19:33:04
56-2389793,701-11-1646,2021-02-07,5:07:54
89-9656852,541-40-4423,2021-02-10,6:03:28
67-8866094,677-62-6979,2021-02-13,9:27:48
99-4328776,679-30-7694,2021-02-19,14:10:42
45-4865707,585-71-0252,2021-02-18,10:41:10
41-9449881,388-99-9108,2021-02-18,5:33:54
85-4978731,234-90-1217,2021-02-11,7:42:01
58-8377809,869-99-2555,2021-02-17,22:10:37
11-5984392,823-38-0747,2021-02-19,12:32:44
76-8467900,672-02-2430,2021-02-20,23:07:55
74-4316097,425-61-3447,2021-02-12,17:14:40
43-5862641,752-30-4427,2021-02-08,21:30:06
43-2774427,209-29-1908,2021-02-08,3:08:45
54-1540627,517-98-3689,2021-02-12,5:21:46
68-6493956,198-38-2443,2021-02-11,19:00:11
87-8856084,362-08-1438,2021-02-19,15:49:01
55-1227416,220-31-5578,2021-02-18,11:30:18
81-3694943,234-31-8470,2021-02-15,20:38:02
77-7944754,704-27-7781,2021-02-10,1:01:32
37-3617297,341-29-8117,2021-02-18,13:12:14
39-3454476,396-44-7774,2021-02-08,10:10:35
10-0374290,792-45-9811,2021-02-13,10:59:50
91-7357046,251-51-5389,2021-02-08,11:20:56
98-9769936,225-02-9302,2021-02-20,18:51:38
66-6378375,791-32-6929,2021-02-09,11:55:34
73-7166421,131-75-0345,2021-02-13,5:11:15
73-8209425,285-83-9966,2021-02-14,1:24:58
19-4304851,393-20-2331,2021-02-19,14:42:18
93-9230256,170-88-7015,2021-02-10,16:43:35
26-5790738,416-51-2119,2021-02-20,3:57:00
45-6683169,364-43-0266,2021-02-20,0:29:34
56-8199333,869-72-9651,2021-02-16,2:34:36
02-0604111,226-97-5641,2021-02-18,11:31:29
51-3952053,645-41-6338,2021-02-07,19:10:37
95-8790392,897-40-8979,2021-02-07,22:15:17
45-0556317,792-01-7609,2021-02-10,9:58:19
69-1225501,207-72-2490,2021-02-18,8:20:25
91-8663520,296-06-8859,2021-02-10,15:47:19
32-7723583,226-80-4300,2021-02-12,9:25:14
46-5008402,539-90-1120,2021-02-11,6:37:35
92-3827560,483-89-7267,2021-02-19,2:47:24
13-5518642,201-31-4853,2021-02-07,0:39:05
36-4892533,616-61-7569,2021-02-19,7:07:59
12-3571572,655-04-2632,2021-02-11,4:22:00
87-6929736,769-13-3810,2021-02-20,2:33:44
59-5070449,575-65-2767,2021-02-09,8:48:34
80-8446893,422-15-3650,2021-02-14,21:43:14
66-5134925,879-94-6620,2021-02-07,16:49:46
82-4139161,220-99-8528,2021-02-11,15:43:52
24-5923005,118-63-5349,2021-02-11,18:09:29
77-5877400,392-42-7270,2021-02-15,15:17:29
85-8101487,227-30-7720,2021-02-07,15:29:44
65-1351734,134-05-5918,2021-02-09,9:23:43
44-9354231,896-68-3070,2021-02-17,0:37:01
91-7763071,802-03-1030,2021-02-09,7:09:04
21-1856589,842-47-2393,2021-02-16,14:32:55
25-5842610,577-72-2052,2021-02-08,14:27:39
69-6889188,207-94-8333,2021-02-13,16:52:09
85-3305230,324-50-2400,2021-02-17,7:14:53
24-7552808,143-99-8736,2021-02-16,14:05:40
71-2594205,123-84-8926,2021-02-14,12:55:44
45-6369448,507-38-3004,2021-02-18,16:38:46
86-7212608,820-79-3560,2021-02-15,22:11:34
87-5168764,293-35-6297,2021-02-11,0:27:20
21-9131687,298-05-3802,2021-02-16,12:51:17
04-5820102,415-88-3711,2021-02-18,15:49:03
29-1157170,112-58-8308,2021-02-14,6:04:58
52-0995820,659-71-4493,2021-02-20,11:55:20
23-5783131,337-15-0366,2021-02-09,21:10:59
07-5074945,601-86-1015,2021-02-07,6:04:33
91-4884157,208-98-7185,2021-02-12,6:44:05
22-4708528,790-97-6709,2021-02-10,1:23:06
51-2891505,179-59-3882,2021-02-16,13:25:40
64-2950347,708-43-1559,2021-02-08,19:24:17
94-5149871,446-92-1244,2021-02-14,2:51:05
32-8247532,811-88-3745,2021-02-17,7:13:38
84-4024250,887-68-8428,2021-02-11,4:43:14
08-6924967,844-51-1629,2021-02-18,21:47:27
07-7587178,342-16-8531,2021-02-13,21:36:12
29-7124282,326-99-9078,2021-02-20,14:40:42
87-1044789,630-70-0044,2021-02-11,16:22:26
92-9421271,111-86-7400,2021-02-10,7:03:46
47-5522678,422-59-9757,2021-02-14,17:30:18
29-0758105,627-72-2229,2021-02-09,20:26:48
56-9134113,239-30-8375,2021-02-11,11:20:05
38-5397443,630-27-0211,2021-02-11,16:03:55
94-9623966,740-74-1683,2021-02-11,10:10:44
72-0712246,542-04-7627,2021-02-20,8:18:47
02-8094113,560-02-2052,2021-02-08,14:25:02
39-1715258,672-10-2385,2021-02-17,11:36:02
65-7866092,874-81-8487,2021-02-16,23:28:24
32-4982560,884-53-1398,2021-02-15,11:03:00
13-1339344,522-09-6285,2021-02-19,22:47:30
22-3526817,362-63-1714,2021-02-12,17:55:19
02-8280347,586-51-7001,2021-02-08,20:34:00
54-3032141,550-18-4505,2021-02-20,16:49:32
36-4294193,710-53-4211,2021-02-18,14:16:01
53-8950183,183-32-7348,2021-02-07,22:48:34
59-5368219,751-18-0600,2021-02-18,19:20:48
07-9901685,310-31-7843,2021-02-17,19:57:07
66-0409207,563-07-8808,2021-02-10,2:44:55
08-5914344,886-78-0750,2021-02-18,19:13:11
85-0697462,326-17-9658,2021-02-13,20:49:50
88-9024939,549-47-7635,2021-02-08,21:15:03
54-6984342,600-77-1534,2021-02-09,20:51:22
68-6195049,503-52-0578,2021-02-17,23:21:24
34-7559692,301-61-8219,2021-02-11,1:41:37
42-2741581,664-59-1173,2021-02-09,14:01:56
39-0469868,293-91-5133,2021-02-17,0:08:50
71-0640102,745-03-0922,2021-02-12,23:53:02
63-9819055,740-89-4402,2021-02-13,14:09:02
71-8839295,557-75-1855,2021-02-15,10:16:52
56-7545867,361-49-3219,2021-02-18,0:09:02
89-9657931,319-36-5084,2021-02-12,4:09:02
31-6051821,343-38-9684,2021-02-13,3:37:17
42-0420583,867-39-6880,2021-02-07,8:29:19
72-4510716,393-60-8574,2021-02-13,1:34:11
22-5014441,506-17-4648,2021-02-16,22:00:33
40-8051928,493-51-8756,2021-02-20,11:05:19
82-9267838,708-58-3471,2021-02-09,17:12:01
48-1099682,497-14-1191,2021-02-14,5:49:28
14-5549172,248-54-4315,2021-02-17,15:40:12
06-8345375,392-48-3213,2021-02-14,22:18:41
81-2950184,230-91-7175,2021-02-08,3:43:27
77-1994058,753-41-6243,2021-02-09,11:05:25
80-0501844,418-46-5391,2021-02-18,4:21:51
23-0740499,272-84-6367,2021-02-19,1:40:02
07-0282371,264-39-7488,2021-02-13,9:49:53
17-9366030,158-32-2089,2021-02-10,22:42:57
44-9555305,262-60-1429,2021-02-11,15:58:47
93-6469130,387-16-7364,2021-02-08,6:10:03
45-9389496,150-28-0696,2021-02-09,17:17:24
28-3391481,761-68-5861,2021-02-08,5:11:58
00-6991629,376-81-9031,2021-02-13,2:27:41
85-7194029,151-90-2827,2021-02-20,8:28:18
85-4311643,265-88-6316,2021-02-14,17:46:03
47-5596414,848-57-0644,2021-02-18,7:43:59
67-4893427,743-69-5728,2021-02-20,4:35:13
61-8558070,355-38-8834,2021-02-16,20:17:17
42-6804279,300-74-2230,2021-02-12,23:13:42
56-8389527,510-92-9589,2021-02-14,11:35:14
49-2281056,732-35-6461,2021-02-15,9:33:20
33-4289112,298-20-7448,2021-02-09,3:20:04
86-0622690,329-40-2301,2021-02-14,16:27:17
69-0200227,786-56-1542,2021-02-14,9:00:08
96-4806033,894-47-4970,2021-02-20,13:16:06
94-7370878,881-65-4055,2021-02-14,23:15:42
57-3357101,738-39-4343,2021-02-14,22:01:01
09-6071374,276-66-0705,2021-02-08,14:24:50
22-1110811,185-10-8712,2021-02-15,20:27:28
06-2139923,397-78-1736,2021-02-14,13:18:03
02-9368704,162-63-1147,2021-02-16,20:24:26
39-1043016,494-60-5634,2021-02-07,9:32:24
85-1558875,447-47-7102,2021-02-09,21:11:36
28-0919861,433-96-2491,2021-02-20,15:18:25
28-5392604,411-79-2708,2021-02-19,17:23:27
48-3606195,142-45-4364,2021-02-18,10:14:27
26-2980214,433-41-8975,2021-02-12,19:58:27
90-9962248,848-18-4235,2021-02-20,0:14:45
84-8565318,849-29-1409,2021-02-11,2:41:16
35-6433113,893-81-4416,2021-02-15,23:44:44
22-8006773,799-23-1021,2021-02-19,8:24:18
05-1700277,865-04-9101,2021-02-12,10:33:29
64-6831147,871-01-6834,2021-02-09,3:45:06
59-7045967,237-08-4054,2021-02-08,20:13:11
80-2685759,198-36-8718,2021-02-17,1:55:59
21-6710215,528-69-6043,2021-02-11,19:42:47
89-5121734,821-80-5156,2021-02-19,1:48:56
66-8481755,671-47-0058,2021-02-10,0:10:04
09-5765817,624-30-9677,2021-02-13,17:35:18
91-4900855,789-88-8394,2021-02-07,3:32:14
64-8703952,109-79-5810,2021-02-11,4:23:17
08-7830766,366-76-6806,2021-02-14,2:08:16
17-9822822,851-12-7105,2021-02-20,17:14:32
35-9683402,356-03-3192,2021-02-13,14:36:59
18-5244150,744-51-1704,2021-02-07,14:14:38
08-0329542,742-28-0162,2021-02-14,10:29:17
51-4740450,473-39-4149,2021-02-17,16:01:11
66-3594109,133-82-5525,2021-02-17,20:26:14
70-4964169,311-30-3528,2021-02-10,17:39:40
70-2191650,507-59-0248,2021-02-15,0:10:25
90-9897663,654-98-3843,2021-02-08,15:07:29
92-4707238,810-42-5019,2021-02-14,2:47:46
86-3228915,730-65-9462,2021-02-09,0:51:41
47-5282090,163-59-4874,2021-02-12,15:24:51
38-9038761,782-49-3575,2021-02-12,11:46:50
72-1214600,441-67-7367,2021-02-19,3:57:35
20-5551327,210-42-8295,2021-02-07,8:58:30
86-6335727,475-69-1858,2021-02-15,12:21:22
36-5802727,531-22-0992,2021-02-16,13:24:57
15-1086908,641-69-0321,2021-02-08,5:25:57
51-3763547,340-07-0097,2021-02-16,12:43:02
06-2549693,833-96-0460,2021-02-16,16:43:07
02-1456923,646-03-5103,2021-02-20,12:35:25
24-2866046,777-89-4985,2021-02-12,4:58:29
67-2624075,643-50-6277,2021-02-07,21:15:51
01-4401127,533-47-1358,2021-02-11,7:18:40
46-4693830,590-02-6737,2021-02-14,14:09:09
86-1332330,841-78-5706,2021-02-17,2:22:59
87-3611238,463-25-3945,2021-02-19,0:46:54
05-9273510,266-01-0983,2021-02-07,6:32:57
59-2001984,328-62-8311,2021-02-07,3:11:42
05-4432395,103-58-4566,2021-02-19,2:05:10
40-4548637,815-18-1506,2021-02-13,12:15:34
83-5797010,870-55-4563,2021-02-12,7:10:31
00-3491701,236-23-0825,2021-02-07,4:01:49
62-3957909,753-97-8615,2021-02-14,13:20:03
19-8870687,499-43-6879,2021-02-09,10:55:27
24-3371900,191-54-2666,2021-02-18,6:14:34
74-5722426,458-65-6878,2021-02-16,3:14:15
86-6672647,242-38-2668,2021-02-09,9:33:22
28-7414730,130-74-3596,2021-02-15,1:29:18
40-3423299,805-74-4005,2021-02-08,6:21:52
43-8900304,450-88-8946,2021-02-16,0:35:31
71-8000840,319-12-8293,2021-02-18,0:59:11
04-8407091,477-17-4294,2021-02-13,7:32:14
63-9810430,518-64-3179,2021-02-20,7:55:53
79-5488525,594-01-6623,2021-02-12,17:33:57
78-3497083,347-07-1092,2021-02-12,8:26:38
57-7538938,246-30-1376,2021-02-07,9:12:22
42-2088927,720-04-5598,2021-02-18,2:17:29
96-3274640,855-74-0353,2021-02-08,7:00:15
12-3601356,382-63-8819,2021-02-08,21:59:58
44-6108102,310-19-5179,2021-02-07,4:11:35
85-9929691,699-06-2932,2021-02-11,19:10:50
18-7683902,709-38-3671,2021-02-09,23:38:00
40-7292854,356-95-8894,2021-02-13,6:53:39
28-9333550,780-18-1344,2021-02-16,11:19:20
59-3851372,234-33-7358,2021-02-09,4:34:01
50-6668288,193-72-7779,2021-02-18,14:35:10
38-3528279,109-90-6094,2021-02-17,21:33:36
96-9952383,816-04-1979,2021-02-15,10:21:46
06-2453426,885-52-2339,2021-02-10,21:10:15
81-2950978,552-32-3415,2021-02-20,6:09:33
83-5525848,716-75-9794,2021-02-09,19:55:20
11-9337305,279-27-2708,2021-02-14,9:56:24
30-3956718,523-05-6030,2021-02-13,1:08:33
28-3399277,532-23-3990,2021-02-17,22:04:24
51-4378562,899-35-4708,2021-02-09,11:33:57
57-7328301,436-93-5852,2021-02-18,15:26:42
69-5836067,401-73-6542,2021-02-12,6:42:21
93-9231138,621-40-2712,2021-02-08,21:59:42
44-5698916,153-45-6270,2021-02-15,19:11:06
95-7850420,363-41-5644,2021-02-13,17:16:47
58-7698665,823-27-1807,2021-02-15,7:05:04
56-1228102,602-42-0939,2021-02-15,11:57:02
13-1560333,823-96-2225,2021-02-14,1:18:13
58-5923226,409-13-0404,2021-02-20,17:02:15
94-3419860,811-68-2977,2021-02-19,23:42:08
62-0201370,553-76-2713,2021-02-12,9:00:38
52-5436982,808-52-1135,2021-02-13,6:01:20
82-9651793,496-16-8769,2021-02-14,16:29:27
39-5852679,508-29-3632,2021-02-13,21:39:59
98-6617844,630-93-6928,2021-02-17,14:22:20
05-6480236,557-95-7758,2021-02-09,10:55:21
29-6143936,111-51-2694,2021-02-20,0:42:14
99-9372272,318-90-2579,2021-02-12,17:14:56
17-7669310,124-81-5463,2021-02-20,14:13:39
92-2258879,194-26-4286,2021-02-13,13:44:56
95-5044859,328-36-8126,2021-02-10,3:58:20
28-0946947,812-53-9947,2021-02-12,13:18:01
01-5976452,510-26-5568,2021-02-14,20:51:24
16-3950110,529-30-7135,2021-02-10,15:23:59
97-6919799,340-43-6778,2021-02-18,2:36:34
08-8221372,735-53-3282,2021-02-10,0:49:49
94-0839153,138-48-7224,2021-02-19,13:47:02
44-0288797,589-15-1545,2021-02-14,13:36:38
84-2852922,730-45-4500,2021-02-12,6:19:25
54-1409396,484-16-5688,2021-02-07,16:29:30
14-9984859,864-69-6177,2021-02-12,12:39:13
17-6032164,473-12-8892,2021-02-16,4:39:22
71-8347585,616-26-7996,2021-02-13,22:23:59
63-5329992,772-01-9378,2021-02-18,21:36:59
34-3160390,284-29-7357,2021-02-13,7:35:21
60-1708477,636-51-7433,2021-02-08,19:22:20
31-4992117,791-60-4835,2021-02-12,3:48:28
15-5342056,335-26-1579,2021-02-12,17:42:41
74-7985221,604-55-3246,2021-02-08,22:08:35
45-7634441,481-33-8579,2021-02-07,8:31:05
01-7804458,386-94-6803,2021-02-15,11:55:16
96-5499028,678-87-8056,2021-02-10,9:09:40
48-7197319,103-42-2167,2021-02-12,5:29:31
49-7517582,264-62-2661,2021-02-09,7:07:12
17-2702455,213-14-5050,2021-02-20,22:36:35
08-2885266,175-46-7580,2021-02-18,11:32:39
01-6929183,417-37-2240,2021-02-15,22:37:06
96-4421004,180-38-7659,2021-02-18,21:32:34
26-0261189,110-43-5062,2021-02-07,15:17:49
96-9920323,433-73-4491,2021-02-16,7:28:43
03-5068188,314-29-6968,2021-02-14,21:46:10
70-7850904,664-66-8850,2021-02-07,8:57:09
26-9782799,758-05-5292,2021-02-12,3:58:20
99-3743575,257-42-2709,2021-02-16,15:43:33
82-9436721,835-61-5307,2021-02-07,16:21:24
25-2596364,312-34-0854,2021-02-07,3:49:07
11-0319771,863-90-2720,2021-02-14,20:02:34
79-5318446,657-76-7080,2021-02-07,0:17:46
61-3498655,563-50-9517,2021-02-11,0:02:19
89-4807184,773-87-8993,2021-02-18,11:31:22
00-5345227,233-12-2587,2021-02-20,21:15:31
29-9134156,234-80-9826,2021-02-13,15:33:14
65-1054639,331-37-3728,2021-02-13,13:17:51
87-5107121,101-03-8851,2021-02-17,17:47:34
06-4961771,432-71-7185,2021-02-09,1:18:12
21-3036831,176-71-8268,2021-02-07,6:29:33
69-8897093,520-98-2329,2021-02-10,14:04:54
32-5250521,800-05-9986,2021-02-15,12:23:54
74-3778506,196-81-9076,2021-02-09,0:59:47
35-5107355,180-82-5534,2021-02-11,5:34:09
94-5803191,463-42-7536,2021-02-13,17:18:09
76-8701653,191-90-1032,2021-02-20,13:20:57
79-4591664,435-80-0674,2021-02-19,4:02:00
85-7792937,652-67-7675,2021-02-07,6:45:41
24-7301454,778-76-4749,2021-02-11,2:57:16
92-7705715,345-32-2489,2021-02-09,1:18:48
89-1968773,150-36-5789,2021-02-14,23:10:21
82-5187060,345-78-7735,2021-02-07,19:39:08
47-4842326,811-28-8002,2021-02-18,12:43:32
93-0477975,774-32-7567,2021-02-19,20:00:15
57-2656755,466-12-7124,2021-02-20,4:06:37
53-2089017,692-01-0952,2021-02-09,19:14:22
54-0392527,194-13-2381,2021-02-12,10:50:25
79-6052405,239-96-8885,2021-02-08,11:03:20
56-6496916,306-91-2554,2021-02-20,16:58:45
40-8325655,159-28-8720,2021-02-07,13:55:09
33-6390123,428-13-8734,2021-02-19,7:26:30
29-9983772,142-36-6918,2021-02-18,16:21:31
30-1779236,454-10-4081,2021-02-17,20:19:44
95-9474394,329-84-1531,2021-02-20,23:18:08
08-2815099,330-84-1831,2021-02-12,7:48:36
84-4186138,110-11-6514,2021-02-19,0:46:07
17-8885622,162-34-7291,2021-02-15,20:24:19
73-8359579,199-88-7339,2021-02-10,14:47:25
05-1469805,507-11-5354,2021-02-11,4:09:33
22-5541794,305-85-0302,2021-02-08,18:47:00
68-5593615,461-02-7807,2021-02-13,0:55:46
53-8005692,411-84-4218,2021-02-07,22:27:51
04-9668461,718-57-1402,2021-02-09,11:55:17
52-4928526,342-35-5742,2021-02-10,15:52:19
08-6563705,178-95-9881,2021-02-17,19:48:28
54-0136182,616-14-2618,2021-02-15,0:55:38
49-9016626,811-29-9621,2021-02-11,21:54:43
42-4234970,838-68-3613,2021-02-19,8:23:30
83-7338258,677-85-0722,2021-02-20,12:15:05
69-2581850,843-30-0962,2021-02-14,6:15:16
13-2188689,752-06-7432,2021-02-12,15:32:05
