empId,passengerId,testDate,testTime,testResult
17-9934610,683-27-6365,2021-02-18,14:18:14,negative
99-0117114,392-65-3641,2021-02-17,4:38:05,negative
52-5294713,816-51-0064,2021-02-12,0:54:56,negative
08-2785940,271-13-4837,2021-02-18,13:26:44,negative
44-8358265,614-39-7686,2021-02-17,12:15:51,positive
40-3048756,222-67-7316,2021-02-18,15:33:03,positive
54-4860132,817-30-3274,2021-02-13,20:37:17,positive
94-6859208,604-58-8829,2021-02-10,4:08:33,positive
70-9069396,218-62-9150,2021-02-17,21:57:02,negative
46-0885078,736-13-5518,2021-02-15,15:36:28,negative
54-0162794,171-82-6467,2021-02-19,15:39:13,positive
81-2567836,740-63-6650,2021-02-19,0:20:49,positive
37-1193389,781-40-4220,2021-02-09,12:03:39,negative
06-6161176,190-67-5469,2021-02-10,17:05:53,negative
19-7425947,859-53-1824,2021-02-16,6:53:53,positive
63-7946439,564-87-1657,2021-02-13,3:49:51,negative
16-6884270,662-97-2896,2021-02-11,23:15:15,negative
78-9831307,349-45-4251,2021-02-19,2:25:04,positive
91-6111815,135-01-9524,2021-02-08,22:25:22,negative
26-5208801,518-98-7653,2021-02-14,18:51:19,negative
46-9495145,436-42-0351,2021-02-08,14:57:54,positive
13-3518673,379-52-5920,2021-02-09,2:53:36,negative
42-4701795,750-93-9352,2021-02-14,14:46:26,positive
15-6450685,892-11-8930,2021-02-17,2:34:15,positive
13-7519672,245-43-0234,2021-02-13,21:02:12,positive
43-8744252,893-83-3853,2021-02-19,5:01:29,positive
82-7137689,123-66-6035,2021-02-17,14:29:02,positive
02-6547192,797-32-1058,2021-02-11,22:38:30,positive
51-5204695,418-11-5469,2021-02-18,14:03:16,negative
18-2442362,177-32-7733,2021-02-15,18:53:27,positive
52-7508874,781-16-1604,2021-02-13,0:41:29,negative
55-8493080,656-30-1906,2021-02-19,22:05:01,positive
89-3675197,819-82-4278,2021-02-19,11:18:10,negative
08-6733271,779-99-4773,2021-02-12,9:49:20,negative
78-6847909,515-61-3225,2021-02-15,23:46:38,positive
05-0813393,565-52-0291,2021-02-16,18:36:48,positive
20-5225610,371-05-7084,2021-02-17,8:31:33,positive
12-4321780,758-63-2260,2021-02-19,13:33:46,positive
73-6960318,794-43-0437,2021-02-12,3:10:15,negative
64-2781654,585-64-5266,2021-02-12,21:43:47,positive
67-5813607,403-79-4759,2021-02-20,11:56:20,positive
36-4260901,434-14-1387,2021-02-10,8:12:23,positive
10-7409127,436-44-1931,2021-02-07,2:00:42,negative
05-0819846,318-03-9396,2021-02-09,5:12:26,negative
59-8978164,667-33-4458,2021-02-19,20:21:03,positive
11-9704144,302-33-4306,2021-02-10,11:12:01,negative
14-0511487,194-84-7389,2021-02-09,2:56:31,negative
89-8856372,341-86-0960,2021-02-14,2:42:53,positive
32-0854815,455-45-8609,2021-02-16,11:24:37,positive
18-6467261,141-92-3014,2021-02-17,3:04:44,negative
93-8202886,580-89-4161,2021-02-18,12:29:41,negative
21-6971167,107-48-6596,2021-02-19,16:50:30,positive
28-2101993,897-01-2511,2021-02-10,20:34:17,positive
84-3874960,746-49-8285,2021-02-20,10:06:37,positive
07-7022553,485-90-1726,2021-02-20,15:25:56,negative
45-8013387,863-80-6261,2021-02-18,5:45:03,negative
68-8858949,194-41-8422,2021-02-08,14:25:39,negative
47-9723723,504-27-4014,2021-02-14,8:57:16,positive
20-7321204,645-08-7702,2021-02-10,19:55:23,negative
11-2882407,534-58-2592,2021-02-12,2:50:51,negative
46-9707583,178-79-9628,2021-02-16,3:38:56,negative
29-2549133,707-83-8199,2021-02-19,20:02:09,negative
24-6170613,627-78-9611,2021-02-11,10:31:06,positive
10-9694054,877-67-2008,2021-02-08,16:46:14,positive
50-3577687,756-66-8231,2021-02-16,15:37:43,positive
36-8999801,459-25-4677,2021-02-09,22:32:45,negative
37-5565477,808-91-2831,2021-02-16,21:59:29,positive
47-2021603,435-63-2219,2021-02-07,15:21:17,negative
84-4632308,717-22-2133,2021-02-08,3:49:02,positive
16-0973713,430-13-9051,2021-02-10,5:45:58,negative
64-3320608,100-30-9675,2021-02-08,2:06:18,positive
13-0243345,650-07-5603,2021-02-20,10:42:16,negative
03-7023188,640-87-8649,2021-02-13,1:15:23,positive
01-2935779,332-68-4888,2021-02-14,14:24:52,negative
14-2796846,653-05-5629,2021-02-17,6:50:37,negative
88-1210218,423-20-7647,2021-02-11,22:47:29,negative
54-5556807,711-82-0974,2021-02-12,20:48:22,positive
39-2963188,784-18-0134,2021-02-17,1:55:24,positive
39-5475544,172-43-9067,2021-02-17,11:30:21,negative
17-5091550,725-79-9398,2021-02-13,11:20:48,positive
30-9365420,639-14-1259,2021-02-14,10:32:14,positive
32-1192603,389-85-4534,2021-02-18,18:11:01,negative
51-0555274,709-21-6440,2021-02-12,8:10:57,negative
07-2168041,665-63-3378,2021-02-08,20:21:10,negative
46-1994329,555-53-5807,2021-02-15,9:28:18,negative
72-9784045,404-15-1915,2021-02-19,4:26:04,positive
56-7406841,168-84-0728,2021-02-16,21:04:28,positive
14-2580674,834-06-9306,2021-02-12,2:54:47,negative
88-9357597,754-41-4377,2021-02-10,10:21:54,positive
13-1064294,397-20-4859,2021-02-18,20:10:44,negative
42-2861534,104-04-2707,2021-02-18,23:35:12,positive
59-2778955,537-91-9453,2021-02-11,1:55:45,negative
87-3798254,713-71-2655,2021-02-17,10:27:40,negative
27-7471699,429-04-2583,2021-02-09,5:30:12,positive
43-8801031,383-26-0277,2021-02-16,8:10:06,positive
21-1092240,107-10-3320,2021-02-10,17:29:29,negative
70-2189339,719-36-2640,2021-02-19,16:32:41,positive
98-9697356,445-19-2400,2021-02-08,7:35:26,negative
18-8587927,539-92-3840,2021-02-20,6:03:53,negative
60-3475468,589-70-1090,2021-02-16,7:26:10,positive
76-1447174,441-66-4669,2021-02-17,21:20:42,positive
49-3723587,322-08-0508,2021-02-10,12:15:18,negative
50-6877334,719-01-6586,2021-02-08,0:48:42,positive
46-8289274,630-18-8795,2021-02-14,19:46:34,positive
21-9348002,817-89-5770,2021-02-17,7:23:10,negative
57-4430890,443-31-9318,2021-02-08,6:01:50,positive
26-0081364,264-64-7904,2021-02-14,4:39:21,positive
58-7420176,497-97-9365,2021-02-07,21:39:35,positive
60-4580778,749-73-9392,2021-02-17,14:55:42,positive
81-5520611,798-51-0809,2021-02-12,23:16:17,positive
33-6665484,466-31-9757,2021-02-13,1:06:02,negative
94-5091567,157-47-8081,2021-02-09,11:21:47,positive
84-6775348,136-16-4848,2021-02-13,0:06:41,negative
03-2697395,413-03-4787,2021-02-07,4:46:28,positive
20-9607503,692-10-8366,2021-02-13,13:22:17,negative
10-6976270,358-23-6694,2021-02-19,5:22:50,negative
35-3246034,342-35-6452,2021-02-07,13:13:50,negative
10-2705541,416-28-1702,2021-02-20,7:38:16,positive
14-9501417,720-38-5912,2021-02-19,22:36:05,positive
83-7957126,595-71-4824,2021-02-12,17:06:47,positive
66-7644551,557-38-0286,2021-02-20,17:42:00,negative
67-1658137,187-60-1927,2021-02-15,21:42:52,positive
36-5086317,451-31-1208,2021-02-07,19:56:16,negative
69-2912856,898-30-2226,2021-02-16,4:06:13,negative
51-1225944,875-86-9664,2021-02-07,14:10:23,positive
55-2183718,224-28-9515,2021-02-16,3:54:15,negative
64-9031158,512-39-3747,2021-02-09,15:19:03,negative
75-0020844,406-43-8118,2021-02-18,21:50:06,negative
94-9248083,190-30-6857,2021-02-11,19:36:45,positive
44-0985753,649-06-0547,2021-02-10,12:32:56,negative
58-1954592,144-82-7573,2021-02-16,12:36:20,negative
84-5180798,304-88-9052,2021-02-12,17:46:02,negative
19-6554874,676-10-3196,2021-02-10,19:01:31,negative
83-9742054,486-76-0160,2021-02-07,1:56:05,negative
27-6854806,377-98-0359,2021-02-18,21:34:06,negative
32-6562940,849-20-1926,2021-02-19,11:30:14,positive
30-3100330,407-52-5466,2021-02-09,17:03:34,positive
09-2162779,418-65-8672,2021-02-12,11:08:44,positive
27-9880014,843-10-5373,2021-02-20,20:05:42,positive
88-8856750,608-27-0002,2021-02-17,6:04:20,negative
85-5014886,423-02-0046,2021-02-14,11:03:06,negative
95-7429742,895-62-0290,2021-02-16,2:19:36,positive
12-6171865,361-55-1524,2021-02-08,5:51:52,positive
92-3983924,222-39-2285,2021-02-20,3:00:03,positive
52-7421914,290-16-6819,2021-02-19,7:47:27,positive
23-7831871,737-55-5579,2021-02-11,21:08:03,negative
79-5400231,347-54-2119,2021-02-18,5:02:28,negative
84-5340038,878-47-1486,2021-02-20,7:57:05,positive
09-7915395,648-76-1548,2021-02-11,1:57:30,negative
33-7259260,258-69-3099,2021-02-16,17:30:26,positive
41-8323465,429-25-2582,2021-02-09,14:09:53,negative
69-7109273,525-60-6805,2021-02-17,3:10:53,positive
91-2223978,748-77-9685,2021-02-17,2:41:57,negative
10-2505070,352-90-6549,2021-02-18,4:00:30,positive
57-4824654,275-33-0780,2021-02-17,15:21:00,positive
27-6731162,216-96-5863,2021-02-18,9:38:40,positive
16-8759396,701-11-1646,2021-02-12,1:02:29,negative
81-8429828,541-40-4423,2021-02-20,15:13:17,negative
69-1441470,677-62-6979,2021-02-07,9:30:38,negative
84-5649436,679-30-7694,2021-02-11,2:52:24,positive
42-6110744,585-71-0252,2021-02-16,10:00:54,positive
73-6286775,388-99-9108,2021-02-14,10:00:53,negative
91-4939461,234-90-1217,2021-02-13,7:05:54,positive
27-2081514,869-99-2555,2021-02-14,23:22:18,positive
07-5402658,823-38-0747,2021-02-15,11:14:26,negative
21-1581984,672-02-2430,2021-02-18,15:41:14,positive
56-9675678,425-61-3447,2021-02-12,9:33:49,positive
54-7454172,752-30-4427,2021-02-15,1:25:22,positive
35-2942029,209-29-1908,2021-02-11,15:02:41,positive
33-0405287,517-98-3689,2021-02-15,18:36:52,positive
40-3926706,198-38-2443,2021-02-13,12:53:21,negative
60-3482794,362-08-1438,2021-02-08,8:01:29,positive
45-5466866,220-31-5578,2021-02-11,21:40:46,positive
80-2661293,234-31-8470,2021-02-19,3:09:07,negative
24-3573974,704-27-7781,2021-02-13,5:48:16,positive
07-0243674,341-29-8117,2021-02-08,4:31:29,negative
23-3258106,396-44-7774,2021-02-07,5:20:57,negative
19-4096807,792-45-9811,2021-02-18,18:57:39,positive
94-6097082,251-51-5389,2021-02-16,14:17:25,positive
50-5087460,225-02-9302,2021-02-20,14:11:09,positive
46-9246643,791-32-6929,2021-02-07,15:45:35,negative
68-5685158,131-75-0345,2021-02-14,3:00:00,negative
84-2871906,285-83-9966,2021-02-17,10:17:52,negative
92-3208784,393-20-2331,2021-02-10,20:38:54,positive
31-4426448,170-88-7015,2021-02-13,2:18:08,positive
62-9180242,416-51-2119,2021-02-13,18:01:58,negative
56-7568240,364-43-0266,2021-02-11,20:35:59,negative
81-1857239,869-72-9651,2021-02-13,13:09:44,positive
69-2148061,226-97-5641,2021-02-12,2:06:58,negative
26-9704773,645-41-6338,2021-02-18,4:04:20,positive
20-9941030,897-40-8979,2021-02-10,0:02:48,positive
11-8362757,792-01-7609,2021-02-18,13:25:20,negative
72-6255129,207-72-2490,2021-02-07,16:27:12,positive
16-9029720,296-06-8859,2021-02-11,17:33:42,negative
53-1040876,226-80-4300,2021-02-11,14:58:26,negative
40-1073473,539-90-1120,2021-02-10,22:52:37,positive
33-7374772,483-89-7267,2021-02-18,22:13:49,positive
25-8554066,201-31-4853,2021-02-15,6:36:36,positive
75-5753735,616-61-7569,2021-02-08,0:44:53,negative
14-5115520,655-04-2632,2021-02-15,20:08:56,negative
35-3451249,769-13-3810,2021-02-08,9:05:59,positive
64-5785498,575-65-2767,2021-02-08,8:47:54,positive
32-0834676,422-15-3650,2021-02-19,8:10:55,negative
03-6556985,879-94-6620,2021-02-10,10:57:57,negative
00-7752897,220-99-8528,2021-02-08,6:24:09,positive
31-1029910,118-63-5349,2021-02-08,22:02:09,negative
92-8412539,392-42-7270,2021-02-19,20:16:31,negative
46-4723847,227-30-7720,2021-02-08,3:42:01,negative
64-6971197,134-05-5918,2021-02-09,5:37:18,positive
79-6755679,896-68-3070,2021-02-09,8:09:47,positive
76-2145977,802-03-1030,2021-02-13,7:01:56,negative
71-8948455,842-47-2393,2021-02-16,0:37:00,positive
49-0396623,577-72-2052,2021-02-08,10:10:43,negative
51-8452870,207-94-8333,2021-02-10,3:52:49,positive
46-5019629,324-50-2400,2021-02-07,2:24:36,positive
71-9330265,143-99-8736,2021-02-14,16:27:56,negative
93-8414915,123-84-8926,2021-02-08,15:08:59,negative
30-7479998,507-38-3004,2021-02-11,12:39:30,negative
86-0748072,820-79-3560,2021-02-19,11:11:29,negative
24-5618458,293-35-6297,2021-02-16,10:53:25,negative
42-8050586,298-05-3802,2021-02-10,13:52:43,negative
17-5948638,415-88-3711,2021-02-17,5:02:21,positive
87-2542291,112-58-8308,2021-02-12,23:49:45,negative
41-7333977,659-71-4493,2021-02-14,2:23:13,negative
67-6607089,337-15-0366,2021-02-11,0:17:11,negative
07-9486893,601-86-1015,2021-02-20,20:11:04,negative
30-6109088,208-98-7185,2021-02-19,0:03:20,positive
63-3532029,790-97-6709,2021-02-08,15:42:50,negative
27-7358309,179-59-3882,2021-02-18,20:50:54,positive
27-9875251,708-43-1559,2021-02-11,1:31:30,positive
41-3544670,446-92-1244,2021-02-13,0:18:33,negative
46-4802495,811-88-3745,2021-02-08,17:50:26,positive
16-9878027,887-68-8428,2021-02-18,13:31:37,negative
61-6758179,844-51-1629,2021-02-19,16:02:25,negative
25-5705448,342-16-8531,2021-02-11,13:56:51,positive
33-0053952,326-99-9078,2021-02-11,23:31:19,positive
08-4184624,630-70-0044,2021-02-13,20:14:17,positive
70-8084632,111-86-7400,2021-02-09,7:46:44,positive
40-5614865,422-59-9757,2021-02-09,7:18:53,positive
54-7300617,627-72-2229,2021-02-09,1:46:00,positive
07-5206214,239-30-8375,2021-02-12,3:49:43,negative
46-2349880,630-27-0211,2021-02-08,15:40:43,positive
11-1787794,740-74-1683,2021-02-07,22:37:16,positive
73-1864056,542-04-7627,2021-02-15,15:19:02,negative
40-9397860,560-02-2052,2021-02-10,6:30:31,positive
97-2070752,672-10-2385,2021-02-10,10:30:25,negative
24-9230406,874-81-8487,2021-02-18,21:50:07,positive
13-0230533,884-53-1398,2021-02-14,11:08:14,positive
39-9832696,522-09-6285,2021-02-11,23:42:10,positive
69-0347501,362-63-1714,2021-02-15,11:07:30,positive
32-5711192,586-51-7001,2021-02-14,14:20:05,negative
36-3855250,550-18-4505,2021-02-16,20:52:00,positive
22-0293147,710-53-4211,2021-02-20,13:27:35,positive
90-3772514,183-32-7348,2021-02-14,23:31:51,negative
30-7944492,751-18-0600,2021-02-11,20:36:04,positive
05-3815112,310-31-7843,2021-02-17,2:08:09,negative
42-4260842,563-07-8808,2021-02-16,16:33:02,negative
89-9820951,886-78-0750,2021-02-13,2:38:46,negative
16-1590365,326-17-9658,2021-02-17,22:36:11,positive
48-9187552,549-47-7635,2021-02-16,9:32:58,positive
61-8332370,600-77-1534,2021-02-10,10:02:31,positive
87-8445889,503-52-0578,2021-02-17,11:49:51,negative
66-3901476,301-61-8219,2021-02-16,1:19:01,positive
94-2380260,664-59-1173,2021-02-20,11:58:19,positive
34-3186266,293-91-5133,2021-02-10,0:40:11,positive
14-9709761,745-03-0922,2021-02-08,3:21:04,positive
03-4207744,740-89-4402,2021-02-14,22:54:43,positive
01-3669604,557-75-1855,2021-02-13,22:03:34,positive
30-7335545,361-49-3219,2021-02-11,9:18:49,positive
09-8908595,319-36-5084,2021-02-13,12:26:47,negative
10-9973331,343-38-9684,2021-02-15,5:30:46,negative
56-8436923,867-39-6880,2021-02-12,14:11:30,positive
45-4569543,393-60-8574,2021-02-08,7:10:42,positive
60-3043973,506-17-4648,2021-02-16,2:13:26,positive
46-3956048,493-51-8756,2021-02-18,8:43:34,positive
15-1165766,708-58-3471,2021-02-17,17:06:41,negative
06-0364356,497-14-1191,2021-02-19,4:53:51,positive
24-0946592,248-54-4315,2021-02-08,9:22:07,positive
93-7186926,392-48-3213,2021-02-12,23:23:46,positive
77-4949113,230-91-7175,2021-02-11,19:34:06,positive
97-2070771,753-41-6243,2021-02-20,12:13:13,positive
64-7620629,418-46-5391,2021-02-19,3:32:38,positive
44-5658616,272-84-6367,2021-02-07,9:01:50,negative
36-6966915,264-39-7488,2021-02-10,3:34:45,positive
67-7426370,158-32-2089,2021-02-18,20:32:17,negative
07-3329802,262-60-1429,2021-02-10,11:17:07,positive
55-1977723,387-16-7364,2021-02-16,22:14:52,negative
62-2348252,150-28-0696,2021-02-20,16:09:34,negative
06-7321403,761-68-5861,2021-02-18,12:28:02,negative
98-0614262,376-81-9031,2021-02-13,8:37:29,positive
67-7723435,151-90-2827,2021-02-16,0:01:37,negative
90-8054882,265-88-6316,2021-02-12,0:00:06,negative
77-5177138,848-57-0644,2021-02-15,21:54:52,negative
90-7563215,743-69-5728,2021-02-14,4:23:32,negative
16-0218852,355-38-8834,2021-02-18,18:39:22,negative
43-8650268,300-74-2230,2021-02-11,5:00:24,positive
54-1699086,510-92-9589,2021-02-07,9:02:03,positive
49-0885981,732-35-6461,2021-02-12,1:42:57,positive
84-2991993,298-20-7448,2021-02-15,13:39:59,positive
49-3098133,329-40-2301,2021-02-20,21:20:35,negative
01-8047631,786-56-1542,2021-02-11,18:18:55,negative
57-4895907,894-47-4970,2021-02-17,2:03:06,negative
21-4035419,881-65-4055,2021-02-19,20:21:26,negative
01-3921781,738-39-4343,2021-02-10,15:09:02,positive
55-6097258,276-66-0705,2021-02-14,15:56:46,positive
03-0898193,185-10-8712,2021-02-13,1:08:36,positive
25-0619943,397-78-1736,2021-02-14,16:21:26,positive
54-4681349,162-63-1147,2021-02-16,16:14:49,positive
45-6632532,494-60-5634,2021-02-14,18:46:25,negative
59-5409127,447-47-7102,2021-02-15,3:26:06,negative
72-0218202,433-96-2491,2021-02-19,13:36:13,positive
56-0725111,411-79-2708,2021-02-11,10:12:35,negative
51-3979534,142-45-4364,2021-02-10,20:47:30,positive
89-1967766,433-41-8975,2021-02-19,20:10:38,positive
50-8545002,848-18-4235,2021-02-11,15:21:11,negative
04-2278862,849-29-1409,2021-02-13,1:55:17,negative
60-0017399,893-81-4416,2021-02-18,19:12:21,negative
76-6939915,799-23-1021,2021-02-20,22:07:14,positive
34-3918702,865-04-9101,2021-02-20,11:53:03,negative
86-8389554,871-01-6834,2021-02-15,6:16:09,negative
28-4277217,237-08-4054,2021-02-16,17:40:32,negative
91-9904089,198-36-8718,2021-02-10,19:59:21,negative
81-1533630,528-69-6043,2021-02-11,2:31:27,positive
82-8913971,821-80-5156,2021-02-16,7:06:16,negative
92-2576916,671-47-0058,2021-02-12,15:50:01,negative
22-9367450,624-30-9677,2021-02-09,8:12:12,positive
83-5356832,789-88-8394,2021-02-17,15:18:12,positive
03-0919410,109-79-5810,2021-02-10,13:33:29,negative
50-5472152,366-76-6806,2021-02-15,22:34:35,negative
72-1102586,851-12-7105,2021-02-16,11:20:14,negative
80-9484214,356-03-3192,2021-02-18,20:05:36,positive
62-6078847,744-51-1704,2021-02-20,16:34:59,negative
44-7626864,742-28-0162,2021-02-18,9:04:43,positive
43-4873639,473-39-4149,2021-02-16,7:14:17,positive
80-1235273,133-82-5525,2021-02-17,20:28:13,negative
04-1994057,311-30-3528,2021-02-11,0:31:03,positive
88-5976450,507-59-0248,2021-02-11,17:25:11,positive
66-6815133,654-98-3843,2021-02-19,21:23:38,positive
78-9522136,810-42-5019,2021-02-20,21:36:11,positive
90-9809355,730-65-9462,2021-02-15,23:55:10,negative
83-0971799,163-59-4874,2021-02-20,12:46:17,positive
70-3899863,782-49-3575,2021-02-20,18:28:38,negative
54-6104737,441-67-7367,2021-02-18,16:50:16,negative
80-7062990,210-42-8295,2021-02-20,9:59:08,negative
17-6205358,475-69-1858,2021-02-20,2:55:01,positive
83-5734047,531-22-0992,2021-02-15,2:53:06,negative
94-3188927,641-69-0321,2021-02-09,15:44:06,negative
19-6558922,340-07-0097,2021-02-17,18:15:29,negative
89-9684991,833-96-0460,2021-02-18,13:20:33,positive
96-4858315,646-03-5103,2021-02-10,18:59:13,negative
98-3444380,777-89-4985,2021-02-12,15:34:45,negative
30-1468710,643-50-6277,2021-02-17,12:24:37,positive
86-1637885,533-47-1358,2021-02-18,8:07:52,positive
54-8804543,590-02-6737,2021-02-14,2:02:02,negative
05-9975779,841-78-5706,2021-02-14,18:41:31,negative
12-5928974,463-25-3945,2021-02-18,0:30:18,negative
90-4993618,266-01-0983,2021-02-08,5:07:22,negative
04-9886371,328-62-8311,2021-02-13,2:18:34,positive
59-6793090,103-58-4566,2021-02-11,20:34:46,negative
47-9901701,815-18-1506,2021-02-07,2:22:51,negative
52-2315177,870-55-4563,2021-02-07,7:54:35,negative
80-6418221,236-23-0825,2021-02-10,0:13:52,positive
27-0107346,753-97-8615,2021-02-07,10:37:57,positive
00-9187913,499-43-6879,2021-02-10,12:58:35,positive
45-5816809,191-54-2666,2021-02-12,23:12:06,positive
30-7775588,458-65-6878,2021-02-10,12:45:10,positive
18-4481410,242-38-2668,2021-02-18,1:31:35,negative
92-6040830,130-74-3596,2021-02-07,15:54:41,negative
28-8247690,805-74-4005,2021-02-13,5:01:26,negative
24-4865979,450-88-8946,2021-02-19,4:06:26,negative
56-0298641,319-12-8293,2021-02-15,6:17:44,negative
26-8211927,477-17-4294,2021-02-16,4:07:28,negative
65-6241366,518-64-3179,2021-02-20,8:39:46,negative
70-1532469,594-01-6623,2021-02-10,9:14:12,positive
44-0428347,347-07-1092,2021-02-18,20:59:20,positive
05-6897358,246-30-1376,2021-02-20,15:34:29,negative
92-9257476,720-04-5598,2021-02-16,5:38:07,positive
35-0923687,855-74-0353,2021-02-17,13:49:10,positive
98-0576379,382-63-8819,2021-02-07,2:20:50,positive
33-1079559,310-19-5179,2021-02-16,23:55:05,positive
79-6420645,699-06-2932,2021-02-13,1:20:39,positive
59-3198280,709-38-3671,2021-02-08,7:41:21,positive
06-0914965,356-95-8894,2021-02-16,0:05:24,positive
37-4335526,780-18-1344,2021-02-07,3:06:02,negative
44-3448867,234-33-7358,2021-02-14,2:51:59,positive
80-7608276,193-72-7779,2021-02-20,3:43:40,negative
94-8339377,109-90-6094,2021-02-15,17:32:21,negative
05-6438421,816-04-1979,2021-02-08,21:30:11,negative
56-5318852,885-52-2339,2021-02-15,20:12:13,negative
85-5505896,552-32-3415,2021-02-11,23:49:51,positive
42-2938646,716-75-9794,2021-02-18,0:26:39,positive
69-7385768,279-27-2708,2021-02-12,10:36:57,negative
24-9632826,523-05-6030,2021-02-16,6:55:30,negative
47-4398865,532-23-3990,2021-02-11,13:28:58,negative
20-7719846,899-35-4708,2021-02-07,20:54:38,positive
12-2096620,436-93-5852,2021-02-15,23:15:25,negative
77-4476168,401-73-6542,2021-02-10,19:44:56,negative
15-0243341,621-40-2712,2021-02-10,15:01:51,positive
59-6293687,153-45-6270,2021-02-13,23:07:55,positive
76-2846148,363-41-5644,2021-02-12,22:08:25,positive
12-0759769,823-27-1807,2021-02-15,8:24:54,positive
96-6083727,602-42-0939,2021-02-20,1:09:32,negative
02-1733139,823-96-2225,2021-02-18,0:15:27,negative
80-7443743,409-13-0404,2021-02-12,13:43:40,positive
48-9253348,811-68-2977,2021-02-15,20:56:38,negative
67-7169916,553-76-2713,2021-02-16,5:12:56,negative
92-1201840,808-52-1135,2021-02-12,4:27:06,negative
15-7275855,496-16-8769,2021-02-12,9:29:51,negative
68-8586858,508-29-3632,2021-02-19,6:54:16,negative
67-8708755,630-93-6928,2021-02-11,8:56:19,negative
49-0870051,557-95-7758,2021-02-11,11:04:18,positive
24-7856634,111-51-2694,2021-02-13,14:02:02,positive
20-6881163,318-90-2579,2021-02-20,23:58:53,negative
37-2795239,124-81-5463,2021-02-08,14:30:43,negative
04-9234167,194-26-4286,2021-02-20,6:36:35,negative
12-3047032,328-36-8126,2021-02-11,13:12:31,positive
97-1843970,812-53-9947,2021-02-14,1:13:13,negative
56-3946158,510-26-5568,2021-02-15,19:20:50,negative
10-6220816,529-30-7135,2021-02-09,16:44:15,positive
00-3402970,340-43-6778,2021-02-19,6:25:26,negative
72-2483323,735-53-3282,2021-02-20,23:53:50,positive
54-5807973,138-48-7224,2021-02-13,13:29:45,negative
30-8433770,589-15-1545,2021-02-20,14:53:27,positive
73-3873908,730-45-4500,2021-02-15,20:34:55,negative
40-4041809,484-16-5688,2021-02-08,4:11:13,positive
12-7496495,864-69-6177,2021-02-20,5:26:51,negative
63-5282309,473-12-8892,2021-02-18,23:39:39,negative
47-8236085,616-26-7996,2021-02-10,11:35:25,positive
68-6933930,772-01-9378,2021-02-20,9:52:44,positive
87-1852124,284-29-7357,2021-02-12,22:05:21,positive
18-8262854,636-51-7433,2021-02-17,18:56:32,positive
53-3059518,791-60-4835,2021-02-19,9:11:46,negative
19-9691853,335-26-1579,2021-02-18,14:02:19,positive
97-7208483,604-55-3246,2021-02-20,9:57:40,negative
56-8232139,481-33-8579,2021-02-09,17:10:11,negative
49-0244988,386-94-6803,2021-02-16,15:51:44,negative
11-3135865,678-87-8056,2021-02-13,20:27:45,negative
24-3107340,103-42-2167,2021-02-11,19:26:38,positive
80-0131548,264-62-2661,2021-02-20,14:15:20,positive
16-2673279,213-14-5050,2021-02-12,2:53:04,positive
17-1622593,175-46-7580,2021-02-18,9:27:26,positive
65-6235238,417-37-2240,2021-02-18,20:19:21,negative
43-1962397,180-38-7659,2021-02-17,17:34:08,negative
35-0411090,110-43-5062,2021-02-09,22:21:02,positive
36-9192762,433-73-4491,2021-02-18,7:18:35,negative
72-4954543,314-29-6968,2021-02-19,8:43:11,negative
